SID:040,5,ENSU1B,RW25,NF041,SB,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,07000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,ENSU1B,RW25,ENSUG,SB,E,A,EEC , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,OGPE1B,RW25,NF129,SB,P,C,EY  , ,010,CF, ,JNV,SB,D, ,      ,1931,0416,2560,0030, ,     ,     ,09000, ,   ,    ,   ,SBNF,SB,P,A, , , , ;
SID:020,5,OGPE1B,RW25, , , , ,    , ,010,CA, , , , , ,      ,    ,    ,2560,    ,+,02500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,OGPE1B,RW25,NF161,SB,P,C,E   ,L,010,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,OGPE1B,RW25,NF042,SB,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,07000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,OGPE1B,RW25,OGPES,SB,P,C,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    ,-,09000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,OGPE1B,DOKRO,OGPES,SB,P,C,E   , ,010,IF, , , , , ,      ,    ,    ,    ,    ,-,09000,     ,09000, ,   ,    ,   ,SBNF,SB,P,A, , , , ;
SID:020,6,OGPE1B,DOKRO,DOKRO,SB,E,A,EEC , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,OGPE1B,KUBLO,OGPES,SB,P,C,E   , ,010,IF, , , , , ,      ,    ,    ,    ,    ,-,09000,     ,09000, ,   ,    ,   ,SBNF,SB,P,A, , , , ;
SID:020,6,OGPE1B,KUBLO,KUBLO,SB,E,A,EEC , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,OMNI,RW07, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0760,    ,+,00420,     ,09000, ,   ,    ,   ,SBNF,SB,P,A, , , , ;
SID:020,1,OMNI,RW07, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0850,    ,+,02000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,1,OMNI,RW07, , , , , E  , ,   ,VM, , , , , ,      ,    ,    ,0850,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,OMNI,RW25, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2560,    ,+,02000,     ,09000, ,   ,    ,   ,SBNF,SB,P,A, , , , ;
SID:020,1,OMNI,RW25, , , , , E  , ,   ,VM, , , , , ,      ,    ,    ,2560,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,5,EDRE2C,RW07,EDREX,SB,E,A,E C , ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,FL190,     ,     , ,   ,    ,   ,SBNF,SB,P,A, , , , ;
STAR:020,5,EDRE2C,RW07,UMPOV,SB,E,A,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,5,EDRE2C,RW07,PONLU,SB,E,A,E  H, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,FL110,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,5,EDRE2C,RW07,PUDNI,SB,E,A,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,B,07000,06000,     , ,   ,    ,   , , , , , , , , ;
STAR:050,5,EDRE2C,RW07,EGUXU,SB,P,C,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,04000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,5,EDRE2D,RW25,EDREX,SB,E,A,E C , ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,FL190,     ,     , ,   ,    ,   ,SBNF,SB,P,A, , , , ;
STAR:020,5,EDRE2D,RW25,UMPOV,SB,E,A,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,5,EDRE2D,RW25,PONLU,SB,E,A,E  H, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,FL110,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,5,EDRE2D,RW25,PUDNI,SB,E,A,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,B,07000,06000,     , ,   ,    ,   , , , , , , , , ;
STAR:050,5,EDRE2D,RW25,EGUXU,SB,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:060,5,EDRE2D,RW25,NF139,SB,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:070,5,EDRE2D,RW25,DOVRO,SB,P,C,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,04000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,5,EVPI2C,RW07,EVPIB,SB,E,A,E C , ,010,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,SBNF,SB,P,A, , , , ;
