SID:010,2,BADO1G,RW06, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0600,    ,+,00470,     ,05000, ,   ,    ,   ,STP,LF,D, , , , , ;
SID:020,2,BADO1G,RW06, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0530,    ,+,01500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,BADO1G,RW06,STP,LF,D, ,V   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,BADO1G,RW06,LERMA,LF,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,BADO1G,RW06, , , , ,    , ,   ,VM, , , , , ,      ,    ,    ,0960,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,2,BADO1G,RW06,AMIRO,LF,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:070,2,BADO1G,RW06,BADOD,LF,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,BODR1G,RW06, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0600,    ,+,00470,     ,05000, ,   ,    ,   ,STP,LF,D, , , , , ;
SID:020,2,BODR1G,RW06, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0530,    ,+,01500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,BODR1G,RW06,STP,LF,D, ,V   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,BODR1G,RW06,LERMA,LF,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,BODR1G,RW06, , , , ,    , ,   ,VM, , , , , ,      ,    ,    ,0960,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,2,BODR1G,RW06,AMIRO,LF,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
