SID:010,2,DEP18,RW18,D179D,OY,P,C,EY  , ,   ,CF, ,SAA,OY,D, ,      ,1790,0040,1790,0030, ,     ,     ,13000, ,   ,    ,   ,SAA,OY,D, , , , , ;
SID:020,2,DEP18,RW18,SAA,OY,D, ,VE  ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,10000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,DEP36,RW36,SAA,OY,D, ,V   , ,   ,CF, ,SAA,OY,D, ,      ,0000,0000,3590,0010, ,     ,     ,13000, ,   ,    ,   ,SAA,OY,D, , , , , ;
SID:020,2,DEP36,RW36,SAA,OY,D, ,V   , ,   ,FA, ,SAA,OY,D, ,      ,0000,0000,3590,    ,+,08600,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,DEP36,RW36,SAA,OY,D, ,VE  ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,10000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,3,DEP36,PAVEN,SAA,OY,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,10000,     ,13000, ,   ,    ,   ,SAA,OY,D, , , , , ;
SID:020,3,DEP36,PAVEN,D210Z,OY,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,3,DEP36,PAVEN, , , , ,    , ,   ,VI, , , , , ,      ,    ,    ,1360,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,3,DEP36,PAVEN,PAVEN,OY,E,A,EE  , ,   ,CF, ,SAA,OY,D, ,      ,1805,0438,1810,0080, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,3,DEP36,SOKAT,SAA,OY,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,10000,     ,13000, ,   ,    ,   ,SAA,OY,D, , , , , ;
SID:020,3,DEP36,SOKAT,D210Z,OY,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,3,DEP36,SOKAT, , , , ,    , ,   ,VI, , , , , ,      ,    ,    ,1480,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,3,DEP36,SOKAT,SOKAT,OY,E,A,EE  , ,   ,CF, ,SAA,OY,D, ,      ,1922,0451,1930,0130, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,GOBL1R,RW18,RWY36,OY,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,07660,     ,13000,-,185,    ,   ,SAA,OY,D, , , , , ;
SID:020,5,GOBL1R,RW18,SN701,OY,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,09460,     ,     ,-,200,    ,   , , , , , , , , ;
SID:030,5,GOBL1R,RW18,SN702,OY,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,11690,     ,     ,-,240,    ,   , , , , , , , , ;
SID:040,5,GOBL1R,RW18,GOBLO,OY,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL180,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,IMSI1R,RW18,RWY36,OY,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,07660,     ,13000,-,185,    ,   ,SAA,OY,D, , , , , ;
SID:020,5,IMSI1R,RW18,SN701,OY,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,09460,     ,     ,-,200,    ,   , , , , , , , , ;
SID:030,5,IMSI1R,RW18,SN702,OY,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,11690,     ,     ,-,240,    ,   , , , , , , , , ;
SID:040,5,IMSI1R,RW18,IMSIL,OY,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL180,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,IMSI2R,RW36, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,3590,    ,+,07620,     ,13000, ,   ,    ,   ,SAA,OY,D, , , , , ;
SID:020,5,IMSI2R,RW36,NIBAL,OY,P,C,E   , ,   ,CF, ,SAA,OY,D, ,      ,3576,0112,3590,0110,+,09500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,IMSI2R,RW36,IMSIL,OY,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL180,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,ITOL1R,RW18,RWY36,OY,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,07660,     ,13000,-,185,    ,   ,SAA,OY,D, , , , , ;
SID:020,2,ITOL1R,RW18,SN701,OY,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,09460,     ,     ,-,200,    ,   , , , , , , , , ;
SID:030,2,ITOL1R,RW18,SN702,OY,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,11690,     ,     ,-,240,    ,   , , , , , , , , ;
SID:040,2,ITOL1R,RW18,SN607,OY,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,ITOL1R,RW18,ITOLI,OY,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL180,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,LUDO1R,RW18,RWY36,OY,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,07660,     ,13000,-,185,    ,   ,SAA,OY,D, , , , , ;
SID:020,5,LUDO1R,RW18,SN701,OY,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,09460,     ,     ,-,200,    ,   , , , , , , , , ;
SID:030,5,LUDO1R,RW18,LUDOX,OY,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL180,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,MUTA1R,RW18,RWY36,OY,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,07660,     ,13000,-,185,    ,   ,SAA,OY,D, , , , , ;
SID:020,5,MUTA1R,RW18,SN701,OY,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,09460,     ,     ,-,200,    ,   , , , , , , , , ;
SID:030,5,MUTA1R,RW18,SN702,OY,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,11690,     ,     ,-,240,    ,   , , , , , , , , ;
SID:040,5,MUTA1R,RW18,SN607,OY,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
