SID:010,2,MID10,RW10, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1020,    ,+,01370,     ,03000, ,   ,    ,   ,EGYE,EG,P,A, , , , ;
SID:020,2,MID10,RW10, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1680,    ,+,03370,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,MID10,RW10, , , , , E  ,R,   ,VM,Y, , , , ,      ,    ,    ,3180,    , ,FL100,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,MID13,RW24, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2370,    ,+,02370,     ,03000, ,   ,    ,   ,EGYE,EG,P,A, , , , ;
SID:020,2,MID13,RW24, , , , , E  ,L,   ,VM,Y, , , , ,      ,    ,    ,0980,    ,-,FL050,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,MID5,RW24, , , , ,    , ,   ,CD, ,CWZ,EG,D, ,      ,    ,    ,2370,0120, ,     ,     ,03000, ,   ,    ,   ,EGYE,EG,P,A, , , , ;
SID:020,2,MID5,RW24, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2370,    ,+,FL050,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,MID5,RW24, , , , , E  ,R,   ,VM, , , , , ,      ,    ,    ,3180,    , ,FL100,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,MID6,RW28, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2820,    ,+,01370,     ,03000, ,   ,    ,   ,EGYE,EG,P,A, , , , ;
SID:020,2,MID6,RW28, , , , ,    , ,   ,CD, ,CWZ,EG,D, ,      ,    ,    ,2380,0120, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,MID6,RW28, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2380,    ,+,FL050,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,MID6,RW28, , , , , E  , ,   ,VM, , , , , ,      ,    ,    ,3180,    , ,FL100,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,MID7,RW06, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0570,    ,+,01370,     ,03000, ,   ,    ,   ,EGYE,EG,P,A, , , , ;
SID:020,2,MID7,RW06, , , , ,    ,R,   ,CA, , , , , ,      ,    ,    ,1690,    ,+,03370,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,MID7,RW06, , , , , E  , ,   ,VM, , , , , ,      ,    ,    ,1380,    , ,FL090,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,MID8,RW06, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0570,    ,+,01370,     ,03000, ,   ,    ,   ,EGYE,EG,P,A, , , , ;
SID:020,2,MID8,RW06, , , , ,    ,R,   ,CA, , , , , ,      ,    ,    ,1690,    ,+,03370,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,MID8,RW06, , , , , E  ,R,   ,VM,Y, , , , ,      ,    ,    ,3180,    , ,FL100,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,MID9,RW10, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1020,    ,+,01370,     ,03000, ,   ,    ,   ,EGYE,EG,P,A, , , , ;
SID:020,2,MID9,RW10, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1680,    ,+,03370,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,MID9,RW10, , , , , E  , ,   ,VM, , , , , ,      ,    ,    ,1380,    , ,FL090,     ,     , ,   ,    ,   , , , , , , , , ;
RWY:RW06 ,-0670,      ,00364, ,    , ,   ;N52573344,W000341162,0625;
RWY:RW10 ,-0580,      ,00367, ,    , ,   ;N52573670,W000342010,0000;
RWY:RW24 ,+0670,      ,00323, ,    , ,   ;N52580266,W000325589,0000;
RWY:RW28 ,+0580,      ,00343, ,    , ,   ;N52572882,W000332128,0640;
