SID:010,2,GUT11D,RW20R, , , , ,    , ,   ,CD, ,CKG,ZU,D, ,      ,    ,    ,1990,0115, ,     ,     ,     , ,   ,    ,   ,OS,ZU,D,B, , , , ;
SID:020,2,GUT11D,RW20R,SHC,ZU,D, ,V   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,GUT11D,RW20R,XOLAL,ZU,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,07880,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,GUT11D,RW20R, , , , ,    , ,   ,CD, ,FLG,ZU,D, ,      ,    ,    ,0670,0075,+,FL128,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,GUT11D,RW20R,FLG,ZU,D, ,V   , ,   ,CF, ,FLG,ZU,D, ,      ,0000,0000,0670,0070, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,2,GUT11D,RW20R,GUTVI,ZU,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,GUT12D,RW20L, , , , ,    , ,   ,CD, ,CKG,ZU,D, ,      ,    ,    ,1990,0115, ,     ,     ,     , ,   ,    ,   ,OS,ZU,D,B, , , , ;
SID:020,2,GUT12D,RW20L,SHC,ZU,D, ,V   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,GUT12D,RW20L,XOLAL,ZU,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,07880,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,GUT12D,RW20L, , , , ,    , ,   ,CD, ,FLG,ZU,D, ,      ,    ,    ,0670,0075,+,FL128,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,GUT12D,RW20L,FLG,ZU,D, ,V   , ,   ,CF, ,FLG,ZU,D, ,      ,0000,0000,0670,0070, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
