SID:010,5,DILO1C,RW06, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0600,    ,+,00760,     ,02730, ,   ,    ,   ,HTG,UN,D, , , , , ;
SID:030,5,DILO1C,RW06,DILOS,UN,E,A,EEC ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,B,FL160,FL080,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,DILO1D,RW24, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2400,    ,+,00710,     ,02730, ,   ,    ,   ,HTG,UN,D, , , , , ;
SID:020,5,DILO1D,RW24,DILOS,UN,E,A,EEC , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,B,FL160,FL080,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,DILOS1,RW06, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0600,    ,+,00760,     ,02730, ,   ,    ,   ,HTG,UN,D, , , , , ;
SID:030,2,DILOS1,RW06,DILOS,UN,E,A,EEC ,R,   ,CF,Y,HTG,UN,D, ,      ,1976,0264,2040,0270,B,FL160,FL080,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,DILOS3,RW24, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2400,    ,+,00710,     ,02730, ,   ,    ,   ,HTG,UN,D, , , , , ;
SID:030,2,DILOS3,RW24,DILOS,UN,E,A,EEC , ,   ,CF, ,HTG,UN,D, ,      ,1976,0264,1930,0250,B,FL160,FL080,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,MINP1C,RW06, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0600,    ,+,00760,     ,02730, ,   ,    ,   ,HTG,UN,D, , , , , ;
SID:020,5,MINP1C,RW06,MINPI,UN,E,A,EEC ,L,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,FL080,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,MINP1D,RW24, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2400,    ,+,00710,     ,02730, ,   ,    ,   ,HTG,UN,D, , , , , ;
SID:020,5,MINP1D,RW24,MINPI,UN,E,A,EEC , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,FL080,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,MINPI1,RW06, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0600,    ,+,00760,     ,02730, ,   ,    ,   ,HTG,UN,D, , , , , ;
SID:020,2,MINPI1,RW06,MINPI,UN,E,A,EEC ,L,   ,CF,Y,HTG,UN,D, ,      ,2484,0268,2420,0290,+,FL080,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,MINPI3,RW24, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2400,    ,+,00710,     ,02730, ,   ,    ,   ,HTG,UN,D, , , , , ;
