STAR:010,4,GRUUB1,BEVAN,BEVAN,PA,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,B,FL390,FL350,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,4,GRUUB1,BEVAN,GUSTR,PA,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL390,FL350,     , ,   ,    ,   , , , , , , , , ;
STAR:030,4,GRUUB1,BEVAN,DAWNE,PA,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL190,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,4,GRUUB1,BEVAN,BRODE,PA,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,15000,12000,     , ,   ,    ,   , , , , , , , , ;
STAR:010,4,GRUUB1,CRUZR,CRUZR,PA,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,B,FL350,FL260,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,4,GRUUB1,CRUZR,TODME,PA,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL350,FL260,     , ,   ,    ,   , , , , , , , , ;
STAR:030,4,GRUUB1,CRUZR,SLICK,PA,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL210,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,4,GRUUB1,CRUZR,LAINN,PA,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:050,4,GRUUB1,CRUZR,BRODE,PA,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,15000,12000,     , ,   ,    ,   , , , , , , , , ;
STAR:010,4,GRUUB1,GUSTR,GUSTR,PA,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,B,FL390,FL350,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,4,GRUUB1,GUSTR,DAWNE,PA,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL190,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,4,GRUUB1,GUSTR,BRODE,PA,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,15000,12000,     , ,   ,    ,   , , , , , , , , ;
STAR:010,4,GRUUB1,MEMRY,MEMRY,PA,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,FL210,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,4,GRUUB1,MEMRY,LAINN,PA,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,4,GRUUB1,MEMRY,BRODE,PA,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,15000,12000,     , ,   ,    ,   , , , , , , , , ;
STAR:010,4,GRUUB1,SPAIR,SPAIR,PA,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,FL290,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,4,GRUUB1,SPAIR,DAWNE,PA,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL190,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,4,GRUUB1,SPAIR,BRODE,PA,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,15000,12000,     , ,   ,    ,   , , , , , , , , ;
STAR:010,4,GRUUB1,STOON,STOON,PA,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,B,FL310,FL290,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,4,GRUUB1,STOON,DAWNE,PA,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL190,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,4,GRUUB1,STOON,BRODE,PA,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,15000,12000,     , ,   ,    ,   , , , , , , , , ;
STAR:010,5,GRUUB1, ,BRODE,PA,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,B,15000,12000,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,5,GRUUB1, ,GRUUB,PA,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,08000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,6,GRUUB1,RW06,GRUUB,PA,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,08000,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,6,GRUUB1,RW06,RNICH,PA,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,06000,04500,     , ,   ,    ,   , , , , , , , , ;
STAR:030,6,GRUUB1,RW06,SSNOW,PA,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,02500,     ,     , ,   ,    ,   , , , , , , , , ;
