STAR:010,4,JINXX1,CRUZR,CRUZR,PA,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,B,FL350,FL260,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,4,JINXX1,CRUZR,REDXX,PA,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,11000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,4,JINXX1,CRUZR,UCABU,PA,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,10000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,4,JINXX1,CRUZR,JINXX,PA,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL180,07500,     , ,   ,    ,   , , , , , , , , ;
STAR:010,4,JINXX1,HOJOE,HOJOE,PA,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,B,FL350,FL260,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,4,JINXX1,HOJOE,DXXTR,PA,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,11000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,4,JINXX1,HOJOE,TIDBY,PA,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,10000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,4,JINXX1,HOJOE,JINXX,PA,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL180,07500,     , ,   ,    ,   , , , , , , , , ;
STAR:010,6,JINXX1,RW06,JINXX,PA,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,B,FL180,07500,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,6,JINXX1,RW06,HOBBS,PA,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,10000,07000,     , ,   ,    ,   , , , , , , , , ;
STAR:030,6,JINXX1,RW06,RUNTZ,PA,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,07000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,6,JINXX1,RW06,RNICH,PA,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,06000,04500,     , ,   ,    ,   , , , , , , , , ;
STAR:050,6,JINXX1,RW06,SSNOW,PA,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,02500,     ,     , ,   ,    ,   , , , , , , , , ;
RWY:RW06 ,     ,+00600,00175,I,    , ,   ;N61145508,W149503934,0000;
RWY:RW16 ,     ,      ,00213,D,    , ,   ;N61154343,W149473652,0000;
RWY:RW24 ,     ,      ,00201,D,    , ,   ;N61151216,W149471802,0000;
RWY:RW34 ,     ,      ,00185,D,    , ,   ;N61142964,W149473657,0000;
