APPCH:010,A,I15,CVA,CVA,K3,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,0,N,S;
APPCH:020,A,I15,CVA,OTALE,K3,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,02700,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:030,A,I15,CVA,OTALE,K3,P,C,EE A,R,   ,PI, ,IDVN,K3,D, ,      ,3286,0070,2836,0100,+,02700,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:010,I,I15, ,IXIWU,K3,P,C,E  I, ,   ,IF, ,IDVN,K3,P,I,      ,3286,0130,    ,    ,J,02700,02700,18000, ,   ,    ,   , , , , , ,0,N,S;
APPCH:020,I,I15, ,OTALE,K3,P,C,E  F, ,   ,CF, ,IDVN,K3,P,I,      ,3286,0070,1490,0060,H,02700,02700,     , ,   ,-300,   ,CVA,K3,D, , ,0,N,S;
APPCH:030,I,I15, ,RW15,K3,P,G,GY M, ,   ,CF, ,IDVN,K3,P,I,      ,3286,0011,1490,0059, ,00807,     ,     , ,   ,-300,   , , , , , ,0,N,S;
APPCH:040,I,I15, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,1486,    ,+,01500,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:050,I,I15, , , , , ,    ,R,   ,VI,Y, , , , ,      ,    ,    ,3200,    , ,     ,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:060,I,I15, ,OTALE,K3,P,C,EY  , ,   ,CF, ,MZV,K5,D, ,      ,3525,0228,3525,0080,+,02700,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:070,I,I15, ,OTALE,K3,P,C,EE  ,R,   ,HM, , , , , ,      ,    ,    ,1486,T010,+,02700,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:010,A,L15,CVA,CVA,K3,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,0,N,S;
APPCH:020,A,L15,CVA,OTALE,K3,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,02700,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:030,A,L15,CVA,OTALE,K3,P,C,EE A,R,   ,PI, ,IDVN,K3,D, ,      ,3286,0070,2836,0100,+,02700,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:010,L,L15, ,IXIWU,K3,P,C,E  I, ,   ,IF, ,IDVN,K3,P,I,      ,3286,0130,    ,    ,+,02700,     ,18000, ,   ,    ,   , , , , , ,0,N,S;
APPCH:020,L,L15, ,OTALE,K3,P,C,E  F, ,   ,CF, ,IDVN,K3,P,I,      ,3286,0070,1490,0060,+,02700,     ,     , ,   ,    ,   ,CVA,K3,D, , ,0,N,S;
APPCH:021,L,L15, ,YIKUT,K3,P,C,E S , ,   ,CF, ,IDVN,K3,P,I,      ,3286,0028,1490,0042,+,01260,     ,     , ,   ,-301,   , , , , , ,0,N,S;
