APPCH:010,A,D23-Y,D316J,D316J,SA,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,A,D23-Y,D316J,D316I,SA,P,C,E   , ,   ,CF, ,MBI,S1,D, ,      ,3160,0090,1360,0010, ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,D23-Y,D316J,CF23,SA,P,C,EE  ,R,   ,AF, ,MBI,S1,D, ,      ,0570,0090,3160,    , ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,D,D23-Y, ,CF23,SA,P,C,E  I, ,   ,IF, ,MBI,S1,D, ,      ,0570,0090,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,D,D23-Y, ,FF23,SA,P,C,E  F, ,   ,CF, ,MBI,S1,D, ,      ,0570,0080,2370,0010,+,03400,     ,     , ,   ,    ,   ,MBI,S1,D, , ,0, ,S;
APPCH:025,D,D23-Y, ,60VOR,SA,P,C,E S , ,   ,CF, ,MBI,S1,D, ,      ,0570,0060,2370,0020,+,02800,     ,     , ,   ,-382,   , , , , , ,0, ,S;
APPCH:027,D,D23-Y, ,20VOR,SA,P,C,E S , ,   ,CF, ,MBI,S1,D, ,      ,0570,0020,2370,0040,+,01550,     ,     , ,   ,-382,   , , , , , ,0, ,S;
APPCH:030,D,D23-Y, ,MBI,S1,D, ,V  M, ,   ,CF, ,MBI,S1,D, ,      ,0000,0000,2370,0020, ,00739,     ,     , ,   ,-382,   , , , , , ,0, ,S;
APPCH:040,D,D23-Y, , , , , , EM , ,   ,VA, , , , , ,      ,    ,    ,2370,    ,+,02500,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,A,D23-Z,MBI,MBI,S1,D, ,V  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,A,D23-Z,MBI,MBI,S1,D, ,V   , ,   ,FD, ,MBI,S1,D, ,      ,0000,0000,0770,0080,+,03400,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,D23-Z,MBI,FF23,SA,P,C,EE  ,L,   ,CF,Y,MBI,S1,D, ,      ,0570,0080,2370,0010,+,03400,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,D,D23-Z, ,FF23,SA,P,C,E  F, ,   ,IF, ,MBI,S1,D, ,      ,0570,0080,    ,    ,+,03400,     ,     , ,   ,    ,   ,MBI,S1,D, , ,0, ,S;
APPCH:023,D,D23-Z, ,60VOR,SA,P,C,E S , ,   ,CF, ,MBI,S1,D, ,      ,0570,0060,2370,0020,+,02800,     ,     , ,   ,-382,   , , , , , ,0, ,S;
APPCH:027,D,D23-Z, ,20VOR,SA,P,C,E S , ,   ,CF, ,MBI,S1,D, ,      ,0570,0020,2370,0040,+,01550,     ,     , ,   ,-382,   , , , , , ,0, ,S;
APPCH:030,D,D23-Z, ,MBI,S1,D, ,V  M, ,   ,CF, ,MBI,S1,D, ,      ,0000,0000,2370,0020, ,00739,     ,     , ,   ,-382,   , , , , , ,0, ,S;
APPCH:040,D,D23-Z, , , , , , EM , ,   ,VA, , , , , ,      ,    ,    ,2370,    ,+,04000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
RWY:RW05 ,     ,      ,00687, ,    , ,   ;S64142911,W056383175,0000;
RWY:RW23 ,     ,      ,00673, ,    , ,   ;S64141261,W056371036,0000;
