APPCH:010,A,R15-Y,KELPA,KELPA,CY,P,C,E   , ,010,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,A,W,S;
APPCH:020,A,R15-Y,KELPA,KEGVO,CY,P,C,E  A, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,08800,     ,     ,-,200,    ,   , , , , , ,A,W,S;
APPCH:030,A,R15-Y,KELPA,DUVSO,CY,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,07200,     ,     , ,   ,    ,   , , , , , ,A,W,S;
APPCH:010,R,R15-Y, ,DUVSO,CY,P,C,E  I, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,07200,     ,18000, ,   ,    ,   , , , , , ,A,W,S;
APPCH:015,R,R15-Y, ,BEXUV,CY,P,C,E S , ,010,TF, , , , , ,      ,    ,    ,1750,0040,+,06300,     ,     , ,   ,    ,   , , , , , ,A,W,S;
APPCH:020,R,R15-Y, ,PIBSU,CY,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,1750,0060,+,05300,     ,     , ,   ,-374,   ,SIDBI,CY,P,C, ,A,W,S;
PRDAT:A,        LP, ,          , ,          , ,   , ,   , ,   , ,   ,W,S;
APPCH:025,R,R15-Y, ,XUKRA,CY,P,C,E S , ,302,TF, , , , , ,      ,    ,    ,1450,0023,+,04400,     ,     , ,   ,-374,   , , , , , ,A,W,S;
APPCH:030,R,R15-Y, ,SIDBI,CY,P,C,EY M, ,302,TF, , , , , ,      ,    ,    ,1450,0060, ,02020,     ,     , ,   ,-374,   , , , , , ,A,W,S;
APPCH:040,R,R15-Y, ,PEPKO,CY,P,C,EYM , ,010,DF, , , , , ,      ,    ,    ,    ,    , ,10000,     ,     ,-,165,    ,   , , , , , ,A,W,S;
APPCH:050,R,R15-Y, ,PEPKO,CY,P,C,EE H,R,010,HM, , , , , ,      ,    ,    ,2100,T010, ,     ,     ,     , ,   ,    ,   , , , , , ,A,W,S;
APPCH:010,A,R15-Z,KELPA,KELPA,CY,P,C,E   , ,010,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,A,W,S;
APPCH:020,A,R15-Z,KELPA,KEGVO,CY,P,C,E  A, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,08800,     ,     ,-,200,    ,   , , , , , ,A,W,S;
APPCH:030,A,R15-Z,KELPA,DUVSO,CY,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,07200,     ,     , ,   ,    ,   , , , , , ,A,W,S;
APPCH:010,R,R15-Z, ,DUVSO,CY,P,C,E  D, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,07200,     ,18000, ,   ,    ,   , , , , , ,A,W,S;
APPCH:015,R,R15-Z, ,BEXUV,CY,P,C,E S , ,010,TF, , , , , ,      ,    ,    ,1750,0040,+,06300,     ,     , ,   ,    ,   , , , , , ,A,W,S;
APPCH:020,R,R15-Z, ,PIBSU,CY,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,1750,0060,+,05300,     ,     , ,   ,-374,   ,SIDBI,CY,P,C, ,A,W,S;
PRDAT:A,        LP, ,          , ,          , ,   , ,   , ,   , ,   ,W,S;
APPCH:030,R,R15-Z, ,SIDBI,CY,P,C,EY M, ,   ,TF, , , , , ,      ,    ,    ,1450,0083, ,02020,     ,     , ,   ,-374,   , , , , , ,A,W,S;
APPCH:040,R,R15-Z, ,PEPKO,CY,P,C,EYM , ,010,DF, , , , , ,      ,    ,    ,    ,    , ,10000,     ,     ,-,165,    ,   , , , , , ,A,W,S;
APPCH:050,R,R15-Z, ,PEPKO,CY,P,C,EE H,R,010,HM, , , , , ,      ,    ,    ,2100,T010, ,     ,     ,     , ,   ,    ,   , , , , , ,A,W,S;
APPCH:010,A,RNVA,TATLU,TATLU,CY,P,C,E  A, ,010,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,B,U,C;
APPCH:020,A,RNVA,TATLU,SEPKO,CY,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,09000,     ,     , ,   ,    ,   , , , , , ,B,U,C;
APPCH:010,R,RNVA, ,SEPKO,CY,P,C,E  I, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,09000,     ,18000, ,   ,    ,   , , , , , ,B,U,C;
APPCH:020,R,RNVA, ,VIXIL,CY,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,0130,0092,+,06800,     ,     , ,   ,    ,   ,CBW4,CY,P,A, ,B,U,C;
APPCH:025,R,RNVA, ,OBRAX,CY,P,C,E S , ,302,TF, , , , , ,      ,    ,    ,0280,0040,+,05300,     ,     , ,   ,    ,   , , , , , ,B,U,C;
APPCH:030,R,RNVA, ,NUDIM,CY,P,C,EY M, ,302,TF, , , , , ,      ,    ,    ,0280,0057, ,05120,     ,     , ,   , 000,   , , , , , ,B,U,C;
APPCH:040,R,RNVA, ,MITEM,CY,P,C,EYM , ,010,DF, , , , , ,      ,    ,    ,    ,    , ,09300,     ,     ,-,165,    ,   , , , , , ,B,U,C;
APPCH:050,R,RNVA, ,MITEM,CY,P,C,EE H,R,010,HM, , , , , ,      ,    ,    ,3370,T010, ,     ,     ,     , ,   ,    ,   , , , , , ,B,U,C;
APPCH:010,A,RNVB,TATLU,TATLU,CY,P,C,E  A, ,010,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,B,U,C;
APPCH:020,A,RNVB,TATLU,SEPKO,CY,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,09000,     ,     , ,   ,    ,   , , , , , ,B,U,C;
APPCH:010,R,RNVB, ,SEPKO,CY,P,C,E  I, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,09000,     ,18000, ,   ,    ,   , , , , , ,B,U,C;
APPCH:020,R,RNVB, ,VIXIL,CY,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,0130,0092,+,06800,     ,     , ,   ,    ,   ,CBW4,CY,P,A, ,B,U,C;
