SID:010,1,NASWI2,RW07, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0690,    ,+,00450,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,1,NASWI2,RW07,NUW,K1,D, ,VE  , ,   ,FM, ,NUW,K1,D, ,      ,0000,0000,0670,    ,+,02000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,NASWI2,RW14, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,1370,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,1,NASWI2,RW14,NUW,K1,D, ,VE  , ,   ,FM, ,NUW,K1,D, ,      ,0000,0000,1280,    ,+,02000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,NASWI2,RW25, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,2490,    ,+,02000,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,1,NASWI2,RW25,NUW,K1,D, ,VE  , ,   ,FM, ,NUW,K1,D, ,      ,0000,0000,2470,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,NASWI2,RW32, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,3170,    ,+,00450,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,1,NASWI2,RW32,NUW,K1,D, ,V   , ,   ,FA, ,NUW,K1,D, ,      ,0000,0000,3170,    ,+,02000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,1,NASWI2,RW32,NUW,K1,D, ,VE  , ,   ,FM, ,NUW,K1,D, ,      ,0000,0000,3170,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
APPCH:010,A,I14,CVV,CVV,K1,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,18000, ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,A,I14,CVV,LETEC,K1,P,C,E  A, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:030,A,I14,CVV,LETEC,K1,P,C,EE H,R,   ,HF, , , , , ,      ,    ,    ,1370,0040,+,03000,     ,     ,-,230,    ,   , , , , , ,0,D,S;
APPCH:010,A,I14,SOBEE,SOBEE,K1,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,02700,     ,18000, ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,A,I14,SOBEE,LETEC,K1,P,C,EE  , ,   ,CF, ,INUW,K1,P,I,      ,3166,0100,1370,0030,+,02300,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:010,I,I14, ,LETEC,K1,P,C,E  I, ,   ,IF, ,INUW,K1,P,I,      ,3166,0100,    ,    ,J,02300,01800,18000, ,   ,    ,   , , , , , ,0,D,S;
