SID:040,2,DOV12D, ,UPDAD,ZS,E,A,E C ,R,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL197,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,DOV12D, ,DOVIV,ZS,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,DOV81D,RW16,DER16,ZS,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,JDG,ZS,D, , , , , ;
SID:020,4,DOV81D,RW16, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1700,    ,+,04930,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,DOV81D,RW16,JD502,ZS,P,C,EE  ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,09850,     ,     ,-,250,    ,   , , , , , , , , ;
SID:010,4,DOV81D,RW17,DER17,ZS,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,JDG,ZS,D, , , , , ;
SID:020,4,DOV81D,RW17, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1700,    ,+,04930,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,DOV81D,RW17,JD502,ZS,P,C,EE  ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,09850,     ,     ,-,250,    ,   , , , , , , , , ;
SID:010,5,DOV81D, ,JD502,ZS,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,09850,     ,     ,-,250,    ,   ,JDG,ZS,D, , , , , ;
SID:020,5,DOV81D, ,JD504,ZS,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,DOV81D, ,GUTVO,ZS,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,DOV81D, ,UPDAD,ZS,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL197,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,DOV81D, ,DOVIV,ZS,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,DOV82D,RW16,DER16,ZS,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,JDG,ZS,D, , , , , ;
SID:020,4,DOV82D,RW16, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1700,    ,+,00500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,DOV82D,RW16,JD511,ZS,P,C,E   , ,   ,CF, ,WFG,ZS,D, ,      ,1208,0557,1550,0060, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,4,DOV82D,RW16,JD512,ZS,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,03940,     ,     ,-,250,    ,   , , , , , , , , ;
SID:010,4,DOV82D,RW17,DER17,ZS,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,JDG,ZS,D, , , , , ;
SID:020,4,DOV82D,RW17,JD501,ZS,P,C,E   , ,   ,CF, ,WFG,ZS,D, ,      ,1227,0537,1700,0060, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,DOV82D,RW17,JD512,ZS,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,03940,     ,     ,-,250,    ,   , , , , , , , , ;
SID:010,5,DOV82D, ,JD512,ZS,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,03940,     ,     ,-,250,    ,   ,JDG,ZS,D, , , , , ;
SID:020,5,DOV82D, ,JD514,ZS,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL128,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,DOV82D, ,GUTVO,ZS,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,DOV82D, ,UPDAD,ZS,E,A,E C ,R,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL197,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,DOV82D, ,DOVIV,ZS,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,DOV91D,RW34,DER34,ZS,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,JDG,ZS,D, , , , , ;
SID:020,4,DOV91D,RW34,JD614,ZS,P,C,E   , ,   ,CF, ,DYN,ZS,D, ,      ,1338,0675,3500,0290, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,DOV91D,RW34,GUTVO,ZS,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,09850,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,DOV91D,RW35,DER35,ZS,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,JDG,ZS,D, , , , , ;
SID:020,4,DOV91D,RW35, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,3500,    ,+,00500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,DOV91D,RW35,JD601,ZS,P,C,E   , ,   ,CF, ,JDG,ZS,D, ,      ,3341,0078,3350,0080, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,4,DOV91D,RW35,JD602,ZS,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,04930,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,4,DOV91D,RW35,GUTVO,ZS,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,09850,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,DOV91D, ,GUTVO,ZS,E,A,E C , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,09850,     ,     , ,   ,    ,   ,JDG,ZS,D, , , , , ;
SID:020,5,DOV91D, ,UPDAD,ZS,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL197,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,DOV91D, ,DOVIV,ZS,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,DYN01D,RW35,DER35,ZS,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,JDG,ZS,D, , , , , ;
SID:030,2,DYN01D,RW35,JD602,ZS,P,C,E   , ,   ,CF, ,WFG,ZS,D, ,      ,0969,0354,3350,0200,+,04930,     ,     ,-,205,    ,   , , , , , , , , ;
SID:040,2,DYN01D,RW35,GUTVO,ZS,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,09850,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,DYN01D,RW35,UPDAD,ZS,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL197,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,2,DYN01D,RW35,DYN,ZS,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,DYN02D,RW34,DER34,ZS,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,JDG,ZS,D, , , , , ;
SID:020,2,DYN02D,RW34, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,3500,    ,+,01320,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,DYN02D,RW34,JD614,ZS,P,C,E   , ,   ,CF, ,JDG,ZS,D, ,      ,3519,0292,3500,0270, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,DYN02D,RW34,GUTVO,ZS,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,09850,     ,     ,-,205,    ,   , , , , , , , , ;
SID:050,2,DYN02D,RW34,UPDAD,ZS,E,A,E C ,R,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL197,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,2,DYN02D,RW34,DYN,ZS,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,DYN11D,RW16,DER16,ZS,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,JDG,ZS,D, , , , , ;
SID:020,1,DYN11D,RW16, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1700,    ,+,04930,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,1,DYN11D,RW16,JDW,ZS,D, ,VE  ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,09850,     ,     ,-,205,    ,   , , , , , , , , ;
SID:010,1,DYN11D,RW17,DER17,ZS,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,JDG,ZS,D, , , , , ;
SID:020,1,DYN11D,RW17, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1700,    ,+,04930,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,1,DYN11D,RW17,JDW,ZS,D, ,VE  ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,09850,     ,     ,-,205,    ,   , , , , , , , , ;
SID:010,2,DYN11D, ,JDW,ZS,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,09850,     ,     ,-,205,    ,   ,JDG,ZS,D, , , , , ;
SID:020,2,DYN11D, ,GUTVO,ZS,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,DYN11D, ,UPDAD,ZS,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL197,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,DYN11D, ,DYN,ZS,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,DYN12D,RW16,DER16,ZS,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,JDG,ZS,D, , , , , ;
SID:020,1,DYN12D,RW16, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1700,    ,+,00990,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,1,DYN12D,RW16,JDE,ZS,D, ,VE  ,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,205,    ,   , , , , , , , , ;
SID:010,1,DYN12D,RW17,DER17,ZS,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,JDG,ZS,D, , , , , ;
SID:020,1,DYN12D,RW17, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1700,    ,+,00990,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,1,DYN12D,RW17,JDE,ZS,D, ,VE  ,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,205,    ,   , , , , , , , , ;
