SID:010,2,CALT2D,RW35, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,3460,    ,+,03120,     ,08370, ,   ,    ,   ,UTDT,UT,P,A, , , , ;
SID:020,2,CALT2D,RW35,D076D,UT,P,C,EY  ,L,   ,CF,Y,TRZ,UT,D, ,      ,0616,0772,1690,0070, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,CALT2D,RW35,NH,UT,P,N,E   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,08370,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,CALT2D,RW35,SARBA,UT,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL100,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,CALT2D,RW35,CALTA,UT,P,C,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL110,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,2,CALT2D,RW35,NAVOX,UT,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,CALT4D,RW17, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1660,    ,+,04760,     ,08370, ,   ,    ,   ,UTDT,UT,P,A, , , , ;
SID:020,2,CALT4D,RW17,NH,UT,P,N,E   ,R,   ,CF,Y,TRZ,UT,D, ,      ,0622,0809,0140,0060,+,08370,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,CALT4D,RW17,SARBA,UT,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL100,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,CALT4D,RW17,CALTA,UT,P,C,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL110,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,CALT4D,RW17,NAVOX,UT,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,GULI2D,RW35, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,3460,    ,+,03120,     ,08370, ,   ,    ,   ,UTDT,UT,P,A, , , , ;
SID:020,2,GULI2D,RW35,NH,UT,P,N,EY  ,L,   ,CF,Y,TRZ,UT,D, ,      ,0622,0809,1420,0070,+,06730,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,GULI2D,RW35,POSEL,UT,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL100,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,GULI2D,RW35,GULIS,UT,P,C,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL110,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,GULI2D,RW35,PINAX,OA,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,GULI4D,RW17, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1660,    ,+,03120,     ,08370, ,   ,    ,   ,UTDT,UT,P,A, , , , ;
SID:020,2,GULI4D,RW17,D070D,UT,P,C,EY  ,R,   ,CF,Y,TRZ,UT,D, ,      ,0619,0772,3400,0030, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,GULI4D,RW17,NH,UT,P,N,E   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,06400,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,GULI4D,RW17,POSEL,UT,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL110,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,GULI4D,RW17,GULIS,UT,P,C,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,2,GULI4D,RW17,PINAX,OA,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,LIV41D,RW17, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1660,    ,+,04760,     ,08370, ,   ,    ,   ,UTDT,UT,P,A, , , , ;
SID:020,2,LIV41D,RW17,D143J,UT,P,C,E   ,R,   ,CF,Y,TRZ,UT,D, ,      ,0549,0798,3460,0150,+,FL120,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,LIV41D,RW17,LIVDI,UT,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,LIV41D,RW17,PR,UT,D,B,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,LIVD2D,RW35, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,3460,    ,+,03120,     ,08370, ,   ,    ,   ,UTDT,UT,P,A, , , , ;
SID:020,2,LIVD2D,RW35,D076D,UT,P,C,EY  ,L,   ,CF,Y,TRZ,UT,D, ,      ,0616,0772,1690,0070, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,LIVD2D,RW35,NH,UT,P,N,E   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,08370,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,LIVD2D,RW35,ILOVA,UT,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,LIVD2D,RW35,LIVDI,UT,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL120,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,2,LIVD2D,RW35,PR,UT,D,B,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,LIVD4D,RW17, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1660,    ,+,04760,     ,08370, ,   ,    ,   ,UTDT,UT,P,A, , , , ;
SID:020,2,LIVD4D,RW17,NH,UT,P,N,E   ,R,   ,CF,Y,TRZ,UT,D, ,      ,0622,0809,0140,0060,+,08370,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,LIVD4D,RW17,ILOVA,UT,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL120,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,LIVD4D,RW17,LIVDI,UT,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,LIVD4D,RW17,PR,UT,D,B,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,OKT21D,RW35, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,3460,    ,+,03120,     ,08370, ,   ,    ,   ,UTDT,UT,P,A, , , , ;
SID:020,2,OKT21D,RW35,D033E,UT,P,C,EY  ,L,   ,CF,Y,TRZ,UT,D, ,      ,0643,0763,1690,0110, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
