SID:010,2,ABUR2A,RW04, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0440,    ,+,02000,     ,10000, ,   ,    ,   ,ZN,UA,P,N, , , , ;
SID:015,2,ABUR2A,RW04, , , , ,    ,L,   ,CI,Y, , , , ,      ,    ,    ,2110,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,ABUR2A,RW04,ABURA,UA,E,A,EE  , ,   ,CF, ,DZG,UA,D, ,      ,2497,0433,2510,0360,B,FL150,FL120,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,ABUR2B,RW22, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2240,    ,+,02000,     ,10000, ,   ,    ,   ,ZN,UA,P,N, , , , ;
SID:020,2,ABUR2B,RW22, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,2810,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,ABUR2B,RW22,ABURA,UA,E,A,EE  , ,   ,CF, ,DZG,UA,D, ,      ,2497,0433,2510,0360,B,FL150,FL120,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,ABUR4D,RW22, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2240,    ,+,02000,     ,10000, ,   ,    ,   ,DZG,UA,D, , , , , ;
SID:015,2,ABUR4D,RW22, , , , ,    , ,   ,CD, ,DZG,UA,D, ,      ,    ,    ,2240,0058, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,ABUR4D,RW22, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,2790,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,ABUR4D,RW22,ABURA,UA,E,A,EE  , ,   ,CF, ,DZG,UA,D, ,      ,2497,0433,2490,0320,B,FL150,FL120,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,ABUR5C,RW04, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0440,    ,+,02000,     ,10000, ,   ,    ,   ,DZG,UA,D, , , , , ;
SID:012,2,ABUR5C,RW04, , , , ,    , ,   ,CD, ,DZG,UA,D, ,      ,    ,    ,0440,0035, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:015,2,ABUR5C,RW04, , , , ,    ,L,   ,CI,Y, , , , ,      ,    ,    ,2090,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,ABUR5C,RW04,ABURA,UA,E,A,EE  , ,   ,CF, ,DZG,UA,D, ,      ,2497,0433,2490,0390,B,FL150,FL120,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,ADOK2A,RW04, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0440,    ,+,02000,     ,10000, ,   ,    ,   ,ZN,UA,P,N, , , , ;
SID:015,2,ADOK2A,RW04, , , , ,    ,L,   ,CI, , , , , ,      ,    ,    ,2900,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,ADOK2A,RW04,ADOKA,UA,E,A,EE  , ,   ,CF, ,DZG,UA,D, ,      ,3273,0431,3300,0370,B,FL150,FL120,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,ADOK2B,RW22, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2240,    ,+,02000,     ,10000, ,   ,    ,   ,ZN,UA,P,N, , , , ;
SID:020,2,ADOK2B,RW22, , , , ,    ,R,   ,CI,Y, , , , ,      ,    ,    ,0100,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,ADOK2B,RW22,ADOKA,UA,E,A,EE  , ,   ,CF, ,DZG,UA,D, ,      ,3273,0431,3300,0380,B,FL150,FL120,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,ADOK4D,RW22, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2240,    ,+,02000,     ,10000, ,   ,    ,   ,DZG,UA,D, , , , , ;
SID:015,2,ADOK4D,RW22, , , , ,    , ,   ,CD, ,DZG,UA,D, ,      ,    ,    ,2240,0058, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,ADOK4D,RW22, , , , ,    ,R,   ,CI,Y, , , , ,      ,    ,    ,0070,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,ADOK4D,RW22,ADOKA,UA,E,A,EE  , ,   ,CF, ,DZG,UA,D, ,      ,3273,0431,3270,0320,B,FL150,FL120,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,ADOK5C,RW04, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0440,    ,+,02000,     ,10000, ,   ,    ,   ,DZG,UA,D, , , , , ;
SID:012,2,ADOK5C,RW04, , , , ,    , ,   ,CD, ,DZG,UA,D, ,      ,    ,    ,0440,0035, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:015,2,ADOK5C,RW04, , , , ,    ,L,   ,CI, , , , , ,      ,    ,    ,2870,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,ADOK5C,RW04,ADOKA,UA,E,A,EE  , ,   ,CF, ,DZG,UA,D, ,      ,3273,0431,3270,0350,B,FL150,FL120,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,ADRI2A,RW04, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0440,    ,+,02000,     ,10000, ,   ,    ,   ,ZN,UA,P,N, , , , ;
SID:020,2,ADRI2A,RW04,ADRIK,UA,E,A,EE  , ,   ,CF, ,DZG,UA,D, ,      ,0521,0430,0530,0430,B,FL150,FL120,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,ADRI2B,RW22, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2240,    ,+,02000,     ,10000, ,   ,    ,   ,ZN,UA,P,N, , , , ;
SID:020,2,ADRI2B,RW22, , , , ,    ,L,   ,CI,Y, , , , ,      ,    ,    ,0110,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
