APPCH:020,A,I23-Z,SIN,FI23,LT,P,C,E   , ,   ,CF, ,SIN,LT,D, ,      ,0491,0060,0490,0060,+,01900,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:030,A,I23-Z,SIN,FI23,LT,P,C,EY  , ,   ,FC, ,SIN,LT,D, ,      ,0491,0060,0940,0043,+,01900,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:040,A,I23-Z,SIN,CF23,LT,P,C,EE  ,L,   ,CF,Y,ISDP,LT,P,I,      ,0485,0089,2290,0030,+,01900,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:010,I,I23-Z, ,CF23,LT,P,C,E  I, ,   ,IF, ,ISDP,LT,P,I,      ,0485,0089,    ,    ,J,01900,01900,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,I,I23-Z, ,FI23,LT,P,C,E  F, ,   ,CF, ,ISDP,LT,P,I,      ,0485,0069,2290,0020,H,01900,01900,     , ,   ,-300,   ,SIN,LT,D,B, ,0,D,S;
APPCH:030,I,I23-Z, ,RW23,LT,P,G,G  M, ,   ,CF, ,ISDP,LT,P,I,      ,0486,0012,2290,0058, ,00067,     ,     , ,   ,-300,   , , , , , ,0,D,S;
APPCH:040,I,I23-Z, ,SIN,LT,D, ,V M , ,   ,CF, ,SIN,LT,D, ,      ,0000,0000,2290,0002, ,     ,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:050,I,I23-Z, ,SIN,LT,D, ,V   , ,   ,FA, ,SIN,LT,D, ,      ,0000,0000,2440,    ,+,02000,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:060,I,I23-Z, ,SIN,LT,D, ,V   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,03000,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:070,I,I23-Z, ,SIN,LT,D, ,VE H,L,   ,HM, , , , , ,      ,    ,    ,0500,T010,+,03000,     ,     ,-,170,    ,   , , , , , ,0,D,S;
APPCH:010,A,NDBA,SIN,SIN,LT,D,B,E  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,0, ,C;
APPCH:020,A,NDBA,SIN,D048G,LT,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,01900,     ,     , ,   ,    ,   , , , , , ,0, ,C;
APPCH:030,A,NDBA,SIN,D048G,LT,P,C,EY  , ,   ,FC, ,SIN,LT,D, ,      ,0480,0070,0930,0044, ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,C;
APPCH:040,A,NDBA,SIN,FF23,LT,P,C,EE  ,L,   ,CF,Y,SIN,LT,D, ,      ,0480,0060,2280,0054,+,01900,     ,     , ,   ,    ,   , , , , , ,0, ,C;
