SID:010,5,IRDIM1,RW32,EPVEV,CY,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,5,IRDIM1,RW32,MUTKO,CY,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,IRDIM1,RW32,IRDIM,CY,E,A,EE H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,12100,     ,     , ,   ,    ,   , , , , , , , , ;
APPCH:010,A,RNVA,OMTOR,OMTOR,CY,P,C,E  A, ,010,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000,-,210,    ,   , , , , , ,B,U,C;
APPCH:020,A,RNVA,OMTOR,ONDAN,CY,P,C,E  B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,10300,     ,     ,-,180,    ,   , , , , , ,B,U,C;
APPCH:030,A,RNVA,OMTOR,AGNEK,CY,P,C,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,08700,     ,     , ,   ,    ,   , , , , , ,B,U,C;
APPCH:010,A,RNVA,PEVMA,PEVMA,CY,P,C,E  A, ,010,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000,-,210,    ,   , , , , , ,B,U,C;
APPCH:020,A,RNVA,PEVMA,ONDAN,CY,P,C,E  B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,10000,     ,     ,-,180,    ,   , , , , , ,B,U,C;
APPCH:030,A,RNVA,PEVMA,AGNEK,CY,P,C,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,08700,     ,     , ,   ,    ,   , , , , , ,B,U,C;
APPCH:010,A,RNVA,PIBTO,PIBTO,CY,P,C,E  A, ,010,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000,-,210,    ,   , , , , , ,B,U,C;
APPCH:020,A,RNVA,PIBTO,ONDAN,CY,P,C,E  B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,10200,     ,     ,-,180,    ,   , , , , , ,B,U,C;
APPCH:030,A,RNVA,PIBTO,AGNEK,CY,P,C,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,08700,     ,     , ,   ,    ,   , , , , , ,B,U,C;
APPCH:010,R,RNVA, ,AGNEK,CY,P,C,E  I, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,08700,     ,18000, ,   ,    ,   , , , , , ,B,U,C;
APPCH:020,R,RNVA, ,MUSOB,CY,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,1050,0080,+,07300,     ,     , ,   ,    ,   ,CAH4,CY,P,A, ,B,U,C;
APPCH:025,R,RNVA, ,DESGI,CY,P,C,E S , ,302,TF, , , , , ,      ,    ,    ,1270,0045,+,07000,     ,     , ,   ,    ,   , , , , , ,B,U,C;
APPCH:030,R,RNVA, ,OMROX,CY,P,C,EY M, ,302,TF, , , , , ,      ,    ,    ,1270,0055, ,06900,     ,     , ,   , 000,   , , , , , ,B,U,C;
APPCH:040,R,RNVA, ,MUSLU,CY,P,C,EYM , ,010,DF, , , , , ,      ,    ,    ,    ,    , ,10100,     ,     ,-,200,    ,   , , , , , ,B,U,C;
APPCH:050,R,RNVA, ,MUSLU,CY,P,C,EE H,L,010,HM, , , , , ,      ,    ,    ,1100,T010, ,     ,     ,     ,-,200,    ,   , , , , , ,B,U,C;
APPCH:010,A,RNVB,OMTOR,OMTOR,CY,P,C,E  A, ,010,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000,-,210,    ,   , , , , , ,B,U,C;
APPCH:020,A,RNVB,OMTOR,ONDAN,CY,P,C,E  B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,10300,     ,     ,-,180,    ,   , , , , , ,B,U,C;
APPCH:030,A,RNVB,OMTOR,AGNEK,CY,P,C,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,08700,     ,     , ,   ,    ,   , , , , , ,B,U,C;
APPCH:010,A,RNVB,PEVMA,PEVMA,CY,P,C,E  A, ,010,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000,-,210,    ,   , , , , , ,B,U,C;
APPCH:020,A,RNVB,PEVMA,ONDAN,CY,P,C,E  B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,10000,     ,     ,-,180,    ,   , , , , , ,B,U,C;
APPCH:030,A,RNVB,PEVMA,AGNEK,CY,P,C,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,08700,     ,     , ,   ,    ,   , , , , , ,B,U,C;
APPCH:010,A,RNVB,PIBTO,PIBTO,CY,P,C,E  A, ,010,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000,-,210,    ,   , , , , , ,B,U,C;
APPCH:020,A,RNVB,PIBTO,ONDAN,CY,P,C,E  B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,10200,     ,     ,-,180,    ,   , , , , , ,B,U,C;
APPCH:030,A,RNVB,PIBTO,AGNEK,CY,P,C,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,08700,     ,     , ,   ,    ,   , , , , , ,B,U,C;
APPCH:010,R,RNVB, ,AGNEK,CY,P,C,E  I, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,08700,     ,18000, ,   ,    ,   , , , , , ,B,U,C;
APPCH:020,R,RNVB, ,MUSOB,CY,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,1050,0080,+,07300,     ,     , ,   ,    ,   ,CAH4,CY,P,A, ,B,U,C;
APPCH:025,R,RNVB, ,DESGI,CY,P,C,E S , ,302,TF, , , , , ,      ,    ,    ,1270,0045,+,05620,     ,     , ,   ,    ,   , , , , , ,B,U,C;
APPCH:030,R,RNVB, ,OMROX,CY,P,C,EY M, ,302,TF, , , , , ,      ,    ,    ,1270,0055, ,04020,     ,     , ,   , 000,   , , , , , ,B,U,C;
APPCH:040,R,RNVB, ,MUSLU,CY,P,C,EYM , ,010,DF, , , , , ,      ,    ,    ,    ,    , ,10100,     ,     ,-,200,    ,   , , , , , ,B,U,C;
APPCH:050,R,RNVB, ,MUSLU,CY,P,C,EE H,L,010,HM, , , , , ,      ,    ,    ,1100,T010,+,10100,     ,     ,-,200,    ,   , , , , , ,B,U,C;
RWY:RW14 ,     ,      ,02603, ,    , ,   ;N52512788,W119202255,0000;
RWY:RW32 ,-0330,      ,02616, ,    , ,   ;N52505193,W119195854,0000;
