STAR:010,5,APKO1A,RW09,APKOL,HT,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,FL120,     ,     , ,   ,    ,   ,HTGW,HT,P,A, , , , ;
STAR:020,5,APKO1A,RW09,UBVAB,HT,P,C,EE H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,09300,     ,     ,-,220,    ,   , , , , , , , , ;
STAR:010,5,APKO1B,RW27,APKOL,HT,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,FL120,     ,     , ,   ,    ,   ,HTGW,HT,P,A, , , , ;
STAR:020,5,APKO1B,RW27,UMVAR,HT,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,11500,     ,     ,-,220,    ,   , , , , , , , , ;
STAR:010,5,EPMA1A,RW09,EPMAB,HT,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,FL120,     ,     , ,   ,    ,   ,HTGW,HT,P,A, , , , ;
STAR:020,5,EPMA1A,RW09,UMTOX,HT,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,11500,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,5,EPMA1A,RW09,OKBOT,HT,P,C,EE H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,09700,     ,     ,-,220,    ,   , , , , , , , , ;
STAR:010,5,EPMA1B,RW27,EPMAB,HT,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,FL120,     ,     , ,   ,    ,   ,HTGW,HT,P,A, , , , ;
STAR:020,5,EPMA1B,RW27,EVUBA,HT,P,C,EE H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,11500,     ,     ,-,220,    ,   , , , , , , , , ;
STAR:010,5,GESA1A,RW09,GESAT,HT,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,FL120,     ,     , ,   ,    ,   ,HTGW,HT,P,A, , , , ;
STAR:020,5,GESA1A,RW09,UBVAB,HT,P,C,EE H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,09300,     ,     ,-,220,    ,   , , , , , , , , ;
STAR:010,5,GESA1B,RW27,GESAT,HT,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,FL120,     ,     , ,   ,    ,   ,HTGW,HT,P,A, , , , ;
STAR:020,5,GESA1B,RW27,UMVAR,HT,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,11500,     ,     ,-,220,    ,   , , , , , , , , ;
STAR:010,5,ITBE1A,RW09,ITBEX,HT,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,FL120,     ,     , ,   ,    ,   ,HTGW,HT,P,A, , , , ;
STAR:020,5,ITBE1A,RW09,UBVAB,HT,P,C,EE H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,09300,     ,     ,-,220,    ,   , , , , , , , , ;
STAR:010,5,OVAN1A,RW09,OVANA,HT,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,FL120,     ,     , ,   ,    ,   ,HTGW,HT,P,A, , , , ;
STAR:020,5,OVAN1A,RW09,UBVAB,HT,P,C,EE H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,09300,     ,     ,-,220,    ,   , , , , , , , , ;
STAR:010,5,OVAN1B,RW27,OVANA,HT,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,FL120,     ,     , ,   ,    ,   ,HTGW,HT,P,A, , , , ;
STAR:020,5,OVAN1B,RW27,UMVAR,HT,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,11500,     ,     ,-,220,    ,   , , , , , , , , ;
