SID:010,4,MOCAA3,RW16, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,1648,    ,+,03000,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,4,MOCAA3,RW16,ALDER,K1,E,A,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,B,09000,05800,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,MOCAA3,RW16,MOCAA,K1,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,MOCAA3,RW34, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,3448,    ,+,03000,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,4,MOCAA3,RW34,NEECE,K1,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,MOCAA3,RW34,NISQA,K1,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,04000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,4,MOCAA3,RW34,KUSCE,K1,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,04000,     ,     ,-,250,    ,   , , , , , , , , ;
SID:050,4,MOCAA3,RW34,ALDER,K1,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,09000,05800,     , ,   ,    ,   , , , , , , , , ;
SID:060,4,MOCAA3,RW34,MOCAA,K1,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,MOCAA3,BKE,MOCAA,K1,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,6,MOCAA3,BKE,SUMMA,K1,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,6,MOCAA3,BKE,WANTA,K1,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,6,MOCAA3,BKE,BKE,K1,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,MOCAA3,IMB,MOCAA,K1,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,6,MOCAA3,IMB,SUMMA,K1,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,6,MOCAA3,IMB,PAAGE,K1,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,11300,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,6,MOCAA3,IMB,IMB,K1,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,MOCAA3,JINMO,MOCAA,K1,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,6,MOCAA3,JINMO,JINMO,K1,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,4,ADYMS2,PDT,PDT,K1,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,4,ADYMS2,PDT,ADYMS,K1,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,FL240,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,4,ADYMS2,SUNED,SUNED,K1,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,4,ADYMS2,SUNED,ADYMS,K1,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,FL240,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,5,ADYMS2, ,ADYMS,K1,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,FL240,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,5,ADYMS2, ,WHYTE,K1,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,14000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,5,ADYMS2, ,WEBIM,K1,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,11000,09000,     , ,   ,    ,   , , , , , , , , ;
STAR:040,5,ADYMS2, ,WRKHS,K1,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,07500,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,6,ADYMS2,RW16,WRKHS,K1,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,07500,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,6,ADYMS2,RW16,MUIRE,K1,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,06200,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,6,ADYMS2,RW16,ROCCI,K1,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,6,ADYMS2,RW16,ALDER,K1,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:050,6,ADYMS2,RW16,HUNAM,K1,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:060,6,ADYMS2,RW16,ELBBE,K1,P,C,EY  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,04000,     ,     , ,210,    ,   , , , , , , , , ;
STAR:070,6,ADYMS2,RW16,ELBBE,K1,P,C,EE  , ,   ,FM, ,TCM,K1,D, ,      ,1551,0150,3460,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,6,ADYMS2,RW34,WRKHS,K1,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,07500,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,6,ADYMS2,RW34,MUIRE,K1,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,06200,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,6,ADYMS2,RW34,ROCCI,K1,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,6,ADYMS2,RW34,ALDER,K1,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:050,6,ADYMS2,RW34,ZOTAN,K1,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,04400,     ,     , ,   ,    ,   , , , , , , , , ;
