SID:010,5,MARFA1,RW07,FONOS,K4,P,C,E   , ,   ,CF, ,COT,K4,D, ,      ,2739,2421,0690,0042, ,     ,     ,18000, ,   ,    ,   ,T89,K4,P,A, , , , ;
APPCH:060,R,R25-N, ,RUZEL,K4,P,C,EE H,R,   ,HM, , , , , ,      ,    ,    ,0930,0110,+,15000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,A,R25-P,MRF,MRF,K4,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,A,R25-P,MRF,COMAE,K4,P,C,E  A, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,15000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:030,A,R25-P,MRF,WEDEL,K4,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,11000,     ,     ,-,210,    ,   , , , , , ,A,J,S;
APPCH:040,A,R25-P,MRF,SOCCR,K4,P,C,EE B, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,07500,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,A,R25-P,RUZEL,RUZEL,K4,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,A,R25-P,RUZEL,COMAE,K4,P,C,E  A, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,15000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:030,A,R25-P,RUZEL,WEDEL,K4,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,11000,     ,     ,-,210,    ,   , , , , , ,A,J,S;
APPCH:040,A,R25-P,RUZEL,SOCCR,K4,P,C,EE B, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,07500,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,R,R25-P, ,SOCCR,K4,P,C,E  I, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,07500,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,R,R25-P, ,JAROR,K4,P,C,E  F, ,   ,TF, , , , , ,      ,    ,    ,2390,0070,+,05700,     ,     , ,   ,    ,   ,RW25,K4,P,G, ,A,J,S;
PRDAT:A,       LPV,A, LNAV/VNAV, ,          , ,   , ,   , ,   , ,   ,J,S;
APPCH:030,R,R25-P, ,RW25,K4,P,G,GY M, ,   ,TF, , , , , ,      ,    ,    ,2490,0089, ,02673,     ,     , ,   ,-320,   , , , , , ,A,J,S;
APPCH:040,R,R25-P, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,2490,    ,+,03700,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:050,R,R25-P, ,RUZEL,K4,P,C,EY  ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,15000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:080,R,R25-P, ,RUZEL,K4,P,C,EE H,R,   ,HM, , , , , ,      ,    ,    ,0930,0110,+,15000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
RWY:RW07 ,     ,      ,02608, ,    , ,   ;N29163115,W103414481,0000;
RWY:RW25 ,     ,      ,02628, ,    , ,   ;N29164415,W103403291,0000;
