SID:030,2,FIST6A,RW14B,D142H,LF,P,C,E   , ,   ,FA, ,TOU,LF,D, ,      ,1420,0080,1420,    ,+,04000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,FIST6A,RW14B,TOU,LF,D, ,V   ,R,   ,CF,Y,TOU,LF,D, ,      ,0000,0000,3540,0100, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,FIST6A,RW14B,FISTO,LF,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,FIST6B,RW32B, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,3220,    ,+,01100,     ,05000, ,   ,    ,   ,LFBO,LF,P,A, , , , ;
SID:020,5,FIST6B,RW32B,BO320,LF,P,C,E C , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,FIST6B,RW32B,BO322,LF,P,C,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:035,5,FIST6B,RW32B,BO324,LF,P,C,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL150,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,FIST6B,RW32B,FISTO,LF,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,FIST6H,RW14B, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1420,    ,+,01000,     ,05000, ,   ,    ,   ,LFBO,LF,P,A, , , , ;
SID:020,2,FIST6H,RW14B,TOU,LF,D, ,V   ,R,   ,CF,Y,TOU,LF,D, ,      ,0000,0000,3540,0070,+,04000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,2,FIST6H,RW14B,FISTO,LF,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,GAUD6A,RW14B, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1420,    ,+,01500,     ,05000, ,   ,    ,   ,LFBO,LF,P,A, , , , ;
SID:020,5,GAUD6A,RW14B,TS,LF,D,B,EYC , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,GAUD6A,RW14B,BO144,LF,P,C,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,GAUD6A,RW14B,BO852,LF,P,C,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,GAUD6A,RW14B,GAUDE,LF,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL200,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,GAUD6B,RW32B, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,3220,    ,+,01100,     ,05000, ,   ,    ,   ,LFBO,LF,P,A, , , , ;
SID:020,5,GAUD6B,RW32B,TOU,LF,D, ,VY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,GAUD6B,RW32B,TOU,LF,D, ,V   , ,   ,FA, ,TOU,LF,D, ,      ,0000,0000,3070,    ,+,04000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,GAUD6B,RW32B, , , , ,    ,L,   ,VI,Y, , , , ,      ,    ,    ,1700,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,GAUD6B,RW32B,BO852,LF,P,C,E C , ,   ,CF, ,TOU,LF,D, ,      ,2151,0275,2150,0190, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,5,GAUD6B,RW32B,GAUDE,LF,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL200,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,LACO6A,RW14B, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1420,    ,+,02500,     ,05000, ,   ,    ,   ,LFBO,LF,P,A, , , , ;
SID:020,2,LACO6A,RW14B,D142H,LF,P,C,E   , ,   ,CF, ,TOU,LF,D, ,      ,1420,0080,1420,0010, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:025,2,LACO6A,RW14B,D142H,LF,P,C,E   , ,   ,FA, ,TOU,LF,D, ,      ,1420,0080,1420,    ,+,04000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,LACO6A,RW14B,TOU,LF,D, ,V   ,R,   ,CF,Y,TOU,LF,D, ,      ,0000,0000,3540,0100, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,2,LACO6A,RW14B,LACOU,LF,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,LACO6B,RW32B, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,3220,    ,+,01100,     ,05000, ,   ,    ,   ,LFBO,LF,P,A, , , , ;
SID:020,5,LACO6B,RW32B,BO320,LF,P,C,E C , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,LACO6B,RW32B,BO322,LF,P,C,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,LACO6B,RW32B,LACOU,LF,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,LACO6H,RW14B, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1420,    ,+,01000,     ,05000, ,   ,    ,   ,LFBO,LF,P,A, , , , ;
SID:020,2,LACO6H,RW14B,TOU,LF,D, ,V   ,R,   ,CF,Y,TOU,LF,D, ,      ,0000,0000,3540,0070,+,04000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,LACO6H,RW14B,LACOU,LF,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,LMB6A,RW14B, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1420,    ,+,01500,     ,05000, ,   ,    ,   ,LFBO,LF,P,A, , , , ;
SID:020,5,LMB6A,RW14B,TS,LF,D,B,EYC , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,LMB6A,RW14B,BO144,LF,P,C,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,LMB6A,RW14B,BO852,LF,P,C,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,LMB6A,RW14B,TALOL,LF,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,5,LMB6A,RW14B,LMB,LF,D, ,VEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,LMB6B,RW32B, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,3220,    ,+,01100,     ,05000, ,   ,    ,   ,LFBO,LF,P,A, , , , ;
SID:020,5,LMB6B,RW32B,TOU,LF,D, ,VY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,LMB6B,RW32B,TOU,LF,D, ,V   , ,   ,FA, ,TOU,LF,D, ,      ,0000,0000,3070,    ,+,04000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,LMB6B,RW32B, , , , ,    ,L,   ,VI, , , , , ,      ,    ,    ,2120,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,LMB6B,RW32B,BO850,LF,P,C,E C , ,   ,CF, ,TOU,LF,D, ,      ,2570,0250,2570,0160, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,5,LMB6B,RW32B,LMB,LF,D, ,VEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,MEN6A,RW14B, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1420,    ,+,02500,     ,05000, ,   ,    ,   ,LFBO,LF,P,A, , , , ;
SID:020,2,MEN6A,RW14B,D142H,LF,P,C,E   , ,   ,CF, ,TOU,LF,D, ,      ,1420,0080,1420,0010, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:025,2,MEN6A,RW14B,D142H,LF,P,C,E   , ,   ,FA, ,TOU,LF,D, ,      ,1420,0080,1420,    ,+,04000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,MEN6A,RW14B,D064S,LF,P,C,E   ,L,   ,CF, ,TOU,LF,D, ,      ,0637,0186,0320,0190, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:035,2,MEN6A,RW14B,MEDAP,LF,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,MEN6A,RW14B,BISBI,LF,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,MEN6A,RW14B,MEN,LF,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,MEN6B,RW32B, , , , ,    , ,   ,CD, ,TOU,LF,D, ,      ,    ,    ,3220,0020, ,     ,     ,05000, ,   ,    ,   ,LFBO,LF,P,A, , , , ;
SID:025,2,MEN6B,RW32B,TOU,LF,D, ,VY  , ,   ,CF, ,TOU,LF,D, ,      ,0000,0000,3220,0020, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:028,2,MEN6B,RW32B, , , , ,    ,R,   ,CI,Y, , , , ,      ,    ,    ,0940,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,MEN6B,RW32B,MEDAP,LF,E,A,E   , ,   ,CF, ,TOU,LF,D, ,      ,0637,0341,0640,0290, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:035,2,MEN6B,RW32B,BISBI,LF,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,MEN6B,RW32B,MEN,LF,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,MEN6H,RW14B, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1420,    ,+,00800,     ,05000, ,   ,    ,   ,LFBO,LF,P,A, , , , ;
SID:020,2,MEN6H,RW14B,D064N,LF,P,C,E   ,L,   ,CF, ,TOU,LF,D, ,      ,0637,0140,0420,0140, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:025,2,MEN6H,RW14B,MEDAP,LF,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,MEN6H,RW14B,BISBI,LF,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,MEN6H,RW14B,MEN,LF,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,PPG6A,RW14B, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1420,    ,+,02500,     ,05000, ,   ,    ,   ,LFBO,LF,P,A, , , , ;
