APPCH:040,A,L13-Z,ELO2,CL13,DA,P,C,EE B,R,   ,CF,Y,EO,DA,P,I,      ,3079,0103,0850,0020,+,02080,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:010,L,L13-Z, ,CL13,DA,P,C,E  I, ,   ,IF, ,EO,DA,P,I,      ,3079,0103,    ,    ,+,02080,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,L,L13-Z, ,FF13,DA,P,C,E  F, ,   ,CF, ,EO,DA,P,I,      ,3079,0073,1280,0030,+,02080,     ,     , ,   ,    ,   ,ELO,DA,D, ,A,0,D,S;
APPCH:030,L,L13-Z, ,ML13,DA,P,C,E  M, ,   ,CF, ,EO,DA,P,I,      ,3079,0028,1280,0045, ,00652,     ,     , ,   ,-300,   , , , , , ,0,D,S;
APPCH:040,L,L13-Z, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,1280,    ,+,00652,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:050,L,L13-Z, ,ELO,DA,D, ,VE  , ,   ,FM, ,ELO,DA,D, ,      ,0000,0000,1280,    , ,03220,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:010,A,S13,ELO1,ELO,DA,D, ,V  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,02270,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,A,S13,ELO1,ELO,DA,D, ,VY  , ,   ,FC, ,ELO,DA,D, ,      ,0000,0000,2910,0088,+,01810,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,S13,ELO1,FS13,DA,P,C,EE  ,R,   ,CF,Y,ELO,DA,D, ,      ,3110,0061,1310,0030,+,01810,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,A,S13,ELO2,ELO,DA,D, ,V  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,02270,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,A,S13,ELO2,ELO,DA,D, ,VY  , ,   ,FC, ,ELO,DA,D, ,      ,0000,0000,2990,0070,+,01810,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,S13,ELO2,FS13,DA,P,C,EE  ,R,   ,CF,Y,ELO,DA,D, ,      ,3110,0061,1310,0020,+,01810,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,S,S13, ,FS13,DA,P,C,E  F, ,   ,IF, ,ELO,DA,D, ,      ,3110,0061,    ,    ,+,01810,     ,     , ,   ,    ,   ,ELO,DA,D, ,B,0, ,S;
APPCH:030,S,S13, ,RW13,DA,P,G,G  M, ,   ,CF, ,ELO,DA,D, ,      ,3168,0011,1310,0049, ,00244,     ,     , ,   ,-300,   , , , , , ,0, ,S;
APPCH:040,S,S13, ,ELO,DA,D, ,VYM , ,   ,CF, ,ELO,DA,D, ,      ,0000,0000,1310,0011, ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:050,S,S13, ,ELO,DA,D, ,V   , ,   ,FA, ,ELO,DA,D, ,      ,0000,0000,1310,    ,+,02270,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:060,S,S13, , , , , , E  , ,   ,VM, , , , , ,      ,    ,    ,1310,    , ,02270,     ,     , ,   ,    ,   , , , , , ,0, ,S;
RWY:RW02 ,-0046,      ,00203, ,    , ,   ;N33294384,E006463326,0000;
RWY:RW13 ,     ,      ,00194, ,EO  ,1,   ;N33312916,E006455642,0000;
RWY:RW20 ,+0046,      ,00200, ,    , ,   ;N33304533,E006470045,0000;
RWY:RW31 ,     ,      ,00200, ,    , ,   ;N33303624,E006471238,0000;
