SID:010,5,BEDI1E,RW05, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0520,    ,+,01000,     ,07000, ,   ,    ,   ,ENGK,EN,P,A, , , , ;
SID:020,5,BEDI1E,RW05,CN750,EN,P,C,EY  ,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,250,    ,   , , , , , , , , ;
SID:030,5,BEDI1E,RW05,UVREG,EN,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,BEDI1E,RW05,BEDIK,EN,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:005,5,BEDI1F,RW23,DER23,EN,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,07000, ,   ,    ,   ,ENGK,EN,P,A, , , , ;
SID:010,5,BEDI1F,RW23, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2170,    ,+,01000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,5,BEDI1F,RW23,CN745,EN,E,A,E   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,BEDI1F,RW23,UVREG,EN,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,BEDI1F,RW23,BEDIK,EN,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,LANT1E,RW05, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0520,    ,+,01000,     ,07000, ,   ,    ,   ,ENGK,EN,P,A, , , , ;
SID:020,5,LANT1E,RW05,CN751,EN,P,C,E   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,250,    ,   , , , , , , , , ;
SID:030,5,LANT1E,RW05,CN410,EN,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,LANT1E,RW05,CN803,EN,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,LANT1E,RW05,LANTI,EN,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,LANT1F,RW23,DER23,EN,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,07000, ,   ,    ,   ,ENGK,EN,P,A, , , , ;
SID:020,5,LANT1F,RW23, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2170,    ,+,01000,     ,     ,-,185,    ,   , , , , , , , , ;
SID:030,5,LANT1F,RW23,CN741,EN,E,A,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,220,    ,   , , , , , , , , ;
SID:040,5,LANT1F,RW23,CN742,EN,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,LANT1F,RW23,CN743,EN,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,5,LANT1F,RW23,LANTI,EN,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
