APPCH:010,A,D18,SKYLA,SKYLA,K4,P,C,E  A,R,   ,HF, , , , , ,      ,    ,    ,1750,T010,+,02800,     ,18000, ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,A,D18,SKYLA,SKYLA,K4,P,C,EE  , ,   ,CF, ,UKW,K4,D, ,      ,1749,0160,1750,0040,+,02500,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,A,D18,UKW,UKW,K4,D, ,V  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,A,D18,UKW,CINEN,K4,P,C,E  B, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,D18,UKW,SKYLA,K4,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,02500,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,D,D18, ,SKYLA,K4,P,C,E  F, ,   ,IF, ,UKW,K4,D, ,      ,1749,0160,    ,    ,+,02500,     ,18000, ,   ,    ,   ,UKW,K4,D, , ,0, ,S;
APPCH:030,D,D18, ,RW18,K4,P,G,GY M, ,   ,CF, ,UKW,K4,D, ,      ,1749,0213,1750,0053, ,00849,     ,     , ,   ,-300,   , , , , , ,0, ,S;
APPCH:040,D,D18, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,1750,    ,+,01264,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:050,D,D18, ,SKYLA,K4,P,C,EY  ,R,   ,CF,Y,UKW,K4,D, ,      ,1749,0160,3550,0061,+,02800,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:060,D,D18, ,SKYLA,K4,P,C,EE  ,R,   ,HM, , , , , ,      ,    ,    ,1750,T010,+,02800,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,A,R18,HIBIS,HIBIS,K4,E,A,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,A,R18,HIBIS,ZEDAX,K4,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,0860,0161,+,03000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,A,R18,ZEDAX,ZEDAX,K4,P,C,EE A,R,   ,HF, , , , , ,      ,    ,    ,1762,0040,+,03000,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,R,R18, ,ZEDAX,K4,P,C,E  I, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,R,R18, ,CONVI,K4,P,C,E  F, ,051,TF, , , , , ,      ,    ,    ,1762,0061,+,02500,     ,     , ,   ,    ,   ,RW18,K4,P,G, ,A,J,S;
PRDAT:A,       LPV,A, LNAV/VNAV,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:021,R,R18, ,WISLO,K4,P,C,E S , ,031,TF, , , , , ,      ,    ,    ,1762,0030,V,01520,01522,     , ,   ,-300,   , , , , , ,A,J,S;
APPCH:030,R,R18, ,RW18,K4,P,G,GY M, ,031,TF, , , , , ,      ,    ,    ,1762,0021, ,00849,     ,     , ,   ,-300,   , , , , , ,A,J,S;
APPCH:040,R,R18, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,1762,    ,+,01235,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:050,R,R18, ,FIPAL,K4,P,C,E   , ,010,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:060,R,R18, ,TIEON,K4,E,A,EY  , ,010,TF, , , , , ,      ,    ,    ,2414,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:070,R,R18, ,TIEON,K4,E,A,EE  ,L,020,HM, , , , , ,      ,    ,    ,0053,0040,+,03000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
RWY:RW18 ,     ,      ,00809,R,    , ,   ;N33105101,W097494172,0000;
RWY:RW36 ,     ,      ,00864,D,    , ,   ;N33100150,W097494296,0000;
