SID:030,3,TIT8,NANJO,TOPAT,RO,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL180,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,3,TIT8,SAKON,TIT,RO,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,02000,     ,14000, ,   ,    ,   , , , , , , , , ;
SID:020,3,TIT8,SAKON,SAKON,RO,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL240,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,3,TIT8,TEBEK,TIT,RO,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,02000,     ,14000, ,   ,    ,   , , , , , , , , ;
SID:020,3,TIT8,TEBEK,TEBEK,RO,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
APPCH:010,A,D06,FUUSE,FUUSE,RO,P,C,E  C, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,14000, ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,A,D06,FUUSE,WIPKI,RO,P,C,EE B, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,D,D06, ,WIPKI,RO,P,C,E  I, ,   ,IF, ,NHC,RO,D, ,      ,2424,0050,    ,    ,+,03000,     ,14000, ,   ,    ,   , , , , , ,0, ,S;
APPCH:015,D,D06, ,BADME,RO,P,C,E S , ,   ,CF, ,NHC,RO,D, ,      ,0631,0010,0630,0060,+,02200,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,D,D06, ,WIKED,RO,P,C,E  F, ,   ,CF, ,NHC,RO,D, ,      ,0628,0020,0630,0010,+,02000,     ,     , ,   ,-353,   ,NHC,RO,D, ,A,0, ,S;
APPCH:030,D,D06, ,WODBA,RO,P,C,E  M, ,   ,CF, ,NHC,RO,D, ,      ,0626,0060,0630,0040, ,00501,     ,     , ,   ,-353,   , , , , , ,0, ,S;
APPCH:040,D,D06, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,0630,    ,+,00750,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:050,D,D06, ,HILIN,RO,P,C,E   , ,   ,CF, ,NHC,RO,D, ,      ,0630,0100,0630,0040,+,03000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:060,D,D06, ,HIKNI,RO,P,C,E   ,R,   ,AF, ,NHC,RO,D, ,      ,1050,0100,0630,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:070,D,D06, ,FUUSE,RO,P,C,E   ,R,   ,AF, ,NHC,RO,D, ,      ,2425,0100,1050,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:080,D,D06, ,FUUSE,RO,P,C,EE H,R,   ,HM, , , , , ,      ,    ,    ,0630,0050,-,06000,     ,     ,-,230,    ,   , , , , , ,0, ,S;
APPCH:010,A,R06,CWBOY,CWBOY,RO,P,C,EE C,R,010,HF, , , , , ,      ,    ,    ,0590,0040,+,03000,     ,14000,-,230,    ,   , , , , , ,B,J,S;
APPCH:010,R,R06, ,CWBOY,RO,P,C,E  I, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,14000, ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,R,R06, ,BMPER,RO,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,0590,0048,+,02200,     ,     , ,   ,    ,   ,RW06,RO,P,G, ,B,J,S;
PRDAT: ,          , ,          ,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:030,R,R06, ,RW06,RO,P,G,GY M, ,302,TF, , , , , ,      ,    ,    ,0590,0056, ,00289,     ,     , ,   ,-324,   , , , , , ,B,J,S;
APPCH:040,R,R06, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,0590,    ,+,00648,     ,     , ,   ,    ,   , , , , , ,B,J,S;
