APPCH:010,A,I13,SZ,SZ,FV,D,B,E  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:020,A,I13,SZ,WO,FV,D,B,E  C, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,05800,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:030,A,I13,SZ,WO,FV,D,B,EE H,R,   ,HF, , , , , ,      ,    ,    ,1270,T015,+,05800,     ,     ,-,230,    ,   , , , , , ,0,N,S;
APPCH:005,A,I13,WO,WO,FV,D,B,EE C,R,   ,HF, , , , , ,      ,    ,    ,1270,T015,+,05800,     ,     ,-,230,    ,   , , , , , ,0,N,S;
APPCH:010,A,I13,YT,YT,FV,D,B,E  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:020,A,I13,YT,WO,FV,D,B,E  C, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,05800,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:030,A,I13,YT,WO,FV,D,B,EE H,R,   ,HF, , , , , ,      ,    ,    ,1270,T015,+,05800,     ,     ,-,230,    ,   , , , , , ,0,N,S;
APPCH:010,I,I13, ,CI13,FV,P,C,E  I, ,   ,IF, ,IBU,FV,P,I,      ,3056,0074,    ,    ,J,05800,05800,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:020,I,I13, ,WO,FV,D,B,E  F, ,   ,CF, ,IBU,FV,P,I,      ,3056,0054,1270,0020,H,05800,05640,     , ,   ,-300,   ,WO,FV,D,B, ,0,N,S;
APPCH:030,I,I13, ,RW13,FV,P,G,G  M, ,   ,CF, ,IBU,FV,P,I,      ,3053,0015,1270,0039, ,04400,     ,     , ,   ,-300,   , , , , , ,0,N,S;
APPCH:040,I,I13, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,1270,    ,+,05000,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:050,I,I13, ,WO,FV,D,B,EE H,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,05800,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:010,A,S13,SZ,SZ,FV,D,B,E  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,A,S13,SZ,WO,FV,D,B,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,S13,SZ,WO,FV,D,B,EE H,R,   ,HF, , , , , ,      ,    ,    ,1270,T010,+,05400,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,A,S13,VBU,VBU,FV,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,A,S13,VBU,WO,FV,D,B,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,S13,VBU,WO,FV,D,B,EE H,R,   ,HF, , , , , ,      ,    ,    ,1270,T010,+,05400,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,A,S13,YT,YT,FV,D,B,E  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,A,S13,YT,WO,FV,D,B,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,S13,YT,WO,FV,D,B,EE H,R,   ,HF, , , , , ,      ,    ,    ,1270,T010,+,05400,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,S,S13, ,WO,FV,D,B,E  F, ,   ,IF, ,VBU,FV,D, ,      ,3056,0056,    ,    ,+,05400,     ,     , ,   ,    ,   ,WO,FV,D,B, ,0, ,S;
APPCH:030,S,S13, ,RW13,FV,P,G,G  M, ,   ,CF, ,VBU,FV,D, ,      ,3053,0018,1270,0039, ,04400,     ,     , ,   ,-300,   , , , , , ,0, ,S;
APPCH:040,S,S13, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,1270,    ,+,06000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:050,S,S13, , , , , , E  , ,   ,VM, , , , , ,      ,    ,    ,1270,    , ,06000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
RWY:RW02 ,     ,      ,04350, ,    , ,   ;S20005493,E028370542,0000;
RWY:RW13 ,     ,      ,04351, ,IBU ,1,   ;S20005862,E028365480,0000;
RWY:RW20 ,     ,      ,04326, ,    , ,   ;S20001151,E028371163,0000;
RWY:RW31 ,     ,      ,04359, ,    , ,   ;S20013455,E028381531,0000;
