SID:010,5,CIV4Y,RW24, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2440,    ,+,01100,     ,04500, ,   ,    ,   ,GSY,EB,D, , , , , ;
SID:020,5,CIV4Y,RW24,CI009,EB,P,C,E   , ,   ,CF, ,GSY,EB,D, ,      ,2460,0077,2450,0070, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,CIV4Y,RW24,CIV,EB,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,CIV5X,RW06, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0640,    ,+,01100,     ,04500, ,   ,    ,   ,GSY,EB,D, , , , , ;
SID:020,5,CIV5X,RW06,CI105,EB,P,C,EY  , ,   ,CF, ,GSY,EB,D, ,      ,0511,0070,0510,0050, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,CIV5X,RW06,CIV,EB,D, ,VE  ,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,LNO4U,RW24, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2440,    ,+,01100,     ,04500, ,   ,    ,   ,GSY,EB,D, , , , , ;
SID:020,5,LNO4U,RW24,CI001,EB,P,C,E   , ,   ,CF, ,GSY,EB,D, ,      ,2458,0088,2450,0080, ,     ,     ,     ,-,220,    ,   , , , , , , , , ;
SID:030,5,LNO4U,RW24,CI006,EB,P,C,E   ,L,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL065,     ,     ,-,220,    ,   , , , , , , , , ;
SID:040,5,LNO4U,RW24,ASPIX,EB,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,LNO4U,RW24,LNO,EB,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,LNO7X,RW06, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0640,    ,+,01100,     ,04500, ,   ,    ,   ,GSY,EB,D, , , , , ;
SID:020,5,LNO7X,RW06,CI105,EB,P,C,E   , ,   ,CF, ,GSY,EB,D, ,      ,0511,0070,0510,0050, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,LNO7X,RW06,CI102,EB,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,LNO7X,RW06,LNO,EB,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,LNO8Y,RW24, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2440,    ,+,01100,     ,04500, ,   ,    ,   ,GSY,EB,D, , , , , ;
