I
1100 Version - data cycle 1911, build 20250921, metadata AwyXP1100. FMS

AAMYY PA 11 ASPIN PA 11 N 1 180 600 R591
AAMYY PA 11 POWAL PA 11 N 1 180 600 R451
AAMYY PA 11 WALLT PA 11 N 1 180 600 R451
AANDY K3 11 BECOM K3 11 N 1  30   0 V159
AANDY K3 11 CANIO K3 11 N 1  30   0 V159
AANTS K6 11 HOAGE K6 11 N 1  60   0 V143-V3-V39
AANTS K6 11 KERRE K6 11 N 1  60   0 V143-V3-V39
AANTS K6 11 TEAKK K6 11 N 1  65   0 V286
  ABI K4  3 AJAHO K4 11 N 1  39   0 V77
  ABI K4  3   BGS K4  3 N 2 180 450 J66
  ABI K4  3   CME K2  3 N 2 250 450 J65
  ABI K4  3 DUMPS K4 11 N 2 180 450 J17
  ABI K4  3 FLECK K4 11 N 1  33   0 V62
  ABI K4  3   FUZ K4  3 N 2 180 450 J4-J42-J66
  ABI K4  3 HICOE K4 11 N 2 180 450 J50
  ABI K4  3   INK K4  3 N 2 180 450 J4-J50
  ABI K4  3 LOWGO K4 11 N 2 180 450 J42
  ABI K4  3 MERKE K4 11 N 1  40   0 V16
  ABI K4  3 ROGEE K4 11 N 1  36   0 V16
  ABI K4  3 ROOMY K4 11 N 2 180 450 J17
  ABI K4  3 ROTAN K4 11 N 1  37   0 V62
  ABI K4  3 SHEPP K4 11 N 1  40   0 V77
  ABI K4  3 TRUSS K4 11 N 1  35   0 V66
  ABI K4  3 TYEES K4 11 N 1  70   0 V66
  ABI K4  3 WAGUN K4 11 N 1  80   0 V385
  ABI K4  3 WEELS K4 11 N 2 180 450 J65
  ABQ K2  3 ACOMA K2 11 N 1  90   0 V190
  ABQ K2  3 AWASH K2 11 N 1  90   0 V187
  ABQ K2  3 BEANN K2 11 N 1 120   0 V68
  ABQ K2  3 BUPNY K2 11 N 1  80   0 V187-V263
  ABQ K2  3   CNX K2  3 N 2 180 450 J15
  ABQ K2  3 CUBBA K2 11 N 1  86   0 V60
  ABQ K2  3 CURLY K2 11 N 2 180 450 J15
  ABQ K2  3 CYOTE K2 11 N 1 100   0 V234-V291-V60
  ABQ K2  3 DULKE K2 11 N 1 130   0 V190
  ABQ K2  3 FRIHO K2 11 N 1  90   0 V263
  ABQ K2  3 FRIHO K2 11 N 2 180 450 J13
  ABQ K2  3   FTI K2  3 N 2 180 450 J18
  ABQ K2  3 HEGMA K2 11 N 1  90   0 V12
  ABQ K2  3 HEXEM K2 11 N 1  83   0 V291
  ABQ K2  3 LORAT K2 11 N 2 180 450 J72
  ABQ K2  3 MIERA K2 11 N 2 180 450 J72
  ABQ K2  3 NODME K2 11 N 1  90   0 V611
  ABQ K2  3   ONM K2  3 N 1  80   0 V611
  ABQ K2  3   ONM K2  3 N 2 180 450 J57
  ABQ K2  3   OTO K2  3 N 1 120   0 V12
  ABQ K2  3 PEDRA K2 11 N 1  90   0 V68
  ABQ K2  3   SJN K2  3 N 2 180 450 J18
  ABQ K2  3 STONY K2 11 N 1  90   0 V234
  ABQ K2  3   TCC K2  3 N 2 180 450 J6-J78
  ABQ K2  3   TCS K2  3 N 2 180 450 J13
  ABQ K2  3   ZUN K2  3 N 2 180 450 J6-J78
  ABR K3  3 AMMAJ K3 11 N 1  36   0 V398
  ABR K3  3 AZZOZ K3 11 N 1  50   0 V170
  ABR K3  3   DIK K3  3 N 2 240 450 J70
  ABR K3  3   DLH K3  3 N 2 180 450 J32
  ABR K3  3   DPR K3  3 N 2 180 450 J32
  ABR K3  3 EFJAM K3 11 N 1  30   0 V15
  ABR K3  3 FIBDA K3 11 N 1  36   0 V24
  ABR K3  3   FSD K3  3 N 2 180 450 J45-Q19
  ABR K3  3   GEP K3  3 N 2 180 450 J70
  ABR K3  3 IRIWY K3 11 N 1  47   0 V15
  ABR K3  3   MLS K1  3 N 2 200 450 J90
  ABR K3  3 OPLOW K3 11 N 1  39   0 V344
  ABR K3  3 OPNAH K3 11 N 1  40   0 V263
  ABR K3  3   RAP K3  3 N 2 180 450 J158
  ABR K3  3   RWF K3  3 N 2 180 450 J90
  ABR K3  3 UNIBY K3 11 N 1  65   0 V344
  ABR K3  3 WODTY K3 11 N 1  33   0 V170
ACAGI K2 11 HETGI K2 11 N 1 129   0 V421
ACAGU K2 11 EPAYI K4 11 N 1  88   0 V81
ACAKO K1 11 EXADE K1 11 N 1  70   0 V465
ACAKO K1 11 ZITGA K1 11 N 1  70   0 V465
ACATE PA 11 NACIP PA 11 N 1  60 175 T219
ACATE PA 11 RUFVY PA 11 N 1  20 175 T219
  ACE PA  2   RWO PA  2 N 1  60   0 G10
  ACE PA  2 WALUS PA 11 N 1  61   0 G8-R99
ACFIJ K1 11 JATTS K1 11 N 1  80   0 V365
ACHES K2 11 BLOKE K2 11 N 1 140   0 V210-V83
ACHES K2 11 GOSIP K2 11 N 1 140   0 V210-V83
  ACH K2  3   BGD K4  3 N 2 180 450 J142
  ACH K2  3 FLUTY K2 11 N 1  80   0 V62
  ACH K2  3   LBL K3  3 N 2 180 450 J231
  ACH K2  3 MAXXO K2 11 N 2 180 450 J142
  ACH K2  3   OTO K2  3 N 1 100   0 V12
  ACH K2  3 RUINS K2 11 N 1 100   0 V234
  ACH K2  3   SJN K2  3 N 2 180 450 J231
  ACH K2  3 TAFOY K2 11 N 1 100   0 V62
  ACH K2  3 WASBI K2 11 N 1  77   0 V12
  ACH K2  3 WIXIX K4 11 N 1  85   0 V234
ACIGE PA 11 TUCKS PA 11 N 1  50   0 V456
ACINS K2 11 DAWNA K2 11 N 1 105   0 V283-V587
ACINS K2 11 DEWAY K2 11 N 1  95   0 V388
ACINS K2 11 LENHO K2 11 N 1  70   0 V388
  ACK K6  3 BENNT K6 11 N 1  20   0 T216-V34-V58
  ACK K6  3   BOS K6  3 N 2 180 450 J97
  ACK K6  3 CLAMY K6 11 N 1  20   0 V46
  ACK K6  3 CUJKE K6 11 N 2 180 450 J62
  ACK K6  3 GROGG K6 11 N 1  17   0 V141
  ACK K6  3 LACKS  K 11 N 2 250 450 J97
  ACK K6  3   MVY K6  3 N 1  20   0 V146
  ACK K6  3   PVD K6  3 N 2 180 450 J68
  ACK K6  3 STOOL K6 11 N 2 180 450 J585
ACKLY K3 11 VOYUG K3 11 N 1  30   0 V434
ACKLY K3 11 WAPEL K3 11 N 1  30   0 V434
ACLAM K2 11 MEADS K2 11 N 1  75   0 V8
ACLAM K2 11 WINDS K2 11 N 1  75   0 V8
ACLOB K1 11 CEGAN K1 11 N 1  90   0 V122
ACLOB K1 11 LEIFF K1 11 N 1  90   0 V122
ACMEE  K 11 DUNNO K7 11 N 1  70   0 A315
ACMES K7 11 CATLN K7 11 N 2 180 450 Q22
ACMES K7 11 OYSTY K4 11 N 2 180 450 Q22
  ACO K5  3 WNGFT K5 11 N 1  30   0 V103
ACOMA K2 11 IZZOM K2 11 N 1 115   0 V190
ACONI K1 11 DRAIN K1 11 N 1  50   0 V448
ACONY  K 11 DONQU  K 11 N 1   0 600 Y185
ACONY  K 11 FEKKO  K 11 N 1   0 600 Y308
ACONY  K 11 ILURI  K 11 N 1   0 600 Y185
ACONY  K 11 SAPPO  K 11 N 1   0 600 Y280
ACORD K1 11 EGRET K1 11 N 1  35   0 V23
ACORI K7 11 CABLO K7 11 N 2 180 450 Q104
ACOSI K2 11 CABER K2 11 N 1  85   0 V293
ACOVE K6 11 AGNEZ K6 11 N 1  63   0 V270
ACOVE K6 11 ATHOS K6 11 N 1  63   0 V270
ACOVE K6 11 TALCO K6 11 N 1 100   0 V213
ACOVE K6 11 WEETS K6 11 N 2 180 450 J6
ACRAN PA 11 VIDDA PA 11 N 1  60   0 T269-V319
ACREW MM 11 YONIS K4 11 N 1   0   0 V70
ACRON PG 11 KITSS  P 11 N 1 180   0 G467
ACRON PG 11 PULEE PG 11 N 1 180   0 G467
  ACT K4  3 BOSEL K4 11 N 1  28   0 V548
  ACT K4  3   CWK K4  3 N 2 180 450 J21-J25
  ACT K4  3   FUZ K4  3 N 2 180 450 J21-J25
  ACT K4  3 HICOE K4 11 N 2 180 450 J50
  ACT K4  3 IGORR K4 11 N 1  30   0 V17
  ACT K4  3 OMOBE K4 11 N 1  24   0 V15
  ACT K4  3 OVFAC K4 11 N 1  25   0 V15-V54
  ACT K4  3 ROLAC K4 11 N 1  36   0 V17
  ACT K4  3 TORNN K4 11 N 2 180 450 J50
  ACT K4  3 WAKMO K4 11 N 1  27   0 V358
ACUFF K4 11 CELTC K4 11 N 1  30   0 V18-V94
  ACV K2  3 KNEES K2 11 N 1  80   0 V607
  ACY K6  3 PANZE K6 11 N 1  21   0 V184-V229
  ACY K6  3 TUBER K6 11 N 1  20   0 V229
  ACY K6  3   VCN K6  3 N 1  18   0 V184
ACYOG K6 11 RAZZR K6 11 N 1  30   0 V93
ACYOG K6 11 TICBU K6 11 N 1  30   0 V93
ACZES K2 11 PAKMN K2 11 N 1  90   0 V244
