I
1200 Version - data cycle 1911, build 20250921, metadata FixXP1200. FMS

 51.505222222  171.153250000  AAMYY ENRT PA 2105426 AAMYY
 69.079930556 -165.790886111  ACADE ENRT PA 2105426 ACADE-MIL
 59.714147222 -162.552694444  ACATE ENRT PA 2105431 ACATE
 60.439805556 -151.768900000  ACIGE ENRT PA 2105411 ACIGE
 61.072383333 -156.490891667  ACRAN ENRT PA 2105411 ACRAN
 64.773041667 -169.781663889  ADLEN ENRT PA 2105426 ADLEN
 58.185947222 -134.656130556  ADMRL ENRT PA 2105431 ADMRL
 69.169675000 -141.002536111  ADREW ENRT PA 2105411 ADREW
 70.399808333 -150.727441667  ADTOQ ENRT PA 2105431 ADTOQ
 45.134444444  -74.775833333  ADVIK ENRT CY 2105431 ADVIK
 68.548555556 -149.553005556  AFEDI ENRT PA 2105426 AFEDI
 59.890480556 -151.405500000  AFWAF ENRT PA 2105426 AFWAF
 44.748000000  -79.778736111  AGBUT ENRT CY 2105431 AGBUT
 43.284272222  -79.104447222  AGDOX ENRT CY 2105431 AGDOX
 62.281075000 -163.642477778  AGEPE ENRT PA 2105411 AGEPE
 55.545608333 -132.042813889  AGESE ENRT PA 2105431 AGESE
 58.322991667 -135.518191667  AGIGE ENRT PA 2105426 AGIGE
 61.756130556 -166.090608333  AGMIV ENRT PA 2105426 AGMIV-MIL
 54.526472222 -130.798325000  AGPAL ENRT CY 2105426 AGPAL
 59.206175000 -135.476591667  AGUCI ENRT PA 2105431 AGUCI
 68.081380556 -162.847905556  AHFAX ENRT PA 2105431 AHFAX
 64.419583333 -156.557719444  AHVUH ENRT PA 2105411 AHVUH
 61.174361111 -149.996361111  AICAP ENRT PA 2105431 AICAP
 58.170772222 -134.485494444  AIDIN ENRT PA 2105431 AIDIN
 60.288325000 -145.288469444  AKBOY ENRT PA 2105431 AKBOY
 62.015525000 -165.094105556  AKELT ENRT PA 2105411 AKELT
 70.111280556 -146.496713889  AKERE ENRT PA 2105431 AKERE
 61.009286111 -154.692394444  AKGAS ENRT PA 2105411 AKGAS
 57.024958333 -136.136625000  AKHAT ENRT PA 2105431 AKHAT
 56.893866667 -136.362238889  AKHOG ENRT PA 2105431 AKHOG
 58.940694444 -140.322683333  AKKID ENRT PA 2105431 AKKID
 61.230872222 -145.583975000  AKRAW ENRT PA 2105426 AKRAW
 54.527700000 -131.611661111  AKSEA ENRT PA 2105431 AKSEA
 56.500000000 -132.000000000  AKTEX ENRT PA 2105431 AKTEX
 64.666666667 -155.500000000  AKTIE ENRT PA 2105431 AKTIE
 67.907786111 -152.583488889  AKUMY ENRT PA 2105431 AKUMY
 70.325663889 -149.670261111  AKUXE ENRT PA 2105431 AKUXE
 54.513680556 -132.034758333  AKWAY ENRT PA 2105431 AKWAY
 60.147222222 -145.483180556  AKZOO ENRT PA 2105431 AKZOO
 59.421275000 -138.241094444  ALATY ENRT PA 2105431 ALATY
 55.193027778 -178.536972222  ALDOZ ENRT PA 2105411 ALDOZ
 54.237938889 -166.547727778  ALEUT ENRT PA 2105431 ALEUT
 59.685188889 -164.681822222  ALIEN ENRT PA 2105411 ALIEN
 63.450869444 -161.803663889  ALMOT ENRT PA 2105411 ALMOT
 61.291155556 -149.811694444  ALNOK ENRT PA 2105426 ALNOK-MIL
 44.648333333  -75.652777778  ALONI ENRT CY 2105431 ALONI
 63.550663889 -144.838061111  ALTEW ENRT PA 2105426 ALTEW
 59.580097222 -160.052172222  ALTEY ENRT PA 2105426 ALTEY
 56.440250000 -173.627000000  ALUFF ENRT PA 2105411 ALUFF
 62.806708333 -155.985688889  ALUKE ENRT PA 2105431 ALUKE-MIL
 59.882511111 -154.651400000  ALUPE ENRT PA 2105426 ALUPE
 43.904722222  -76.601111111  ALVID ENRT CY 2105431 ALVID
 63.786027778 -170.115611111  ALYAN ENRT PA 2105426 ALYAN
